maint_len_L,maint_len_H
"[[1316.4653280332934, 1071.182894883183, 1040.7315540364934, 1005.1494418834044, 986.9445850244302, 969.02860976485, 961.3213747040036, 961.3213747040036, 1948.738888310708, 2933.909321255837, 2890.409953931915, 2096.882534359389, 2710.0785540858164, 2514.2663911491863, 1878.6975701979954, 1964.6565535031782, 1773.1095591570584]]","[[2324.540516317061, 2134.365985581303, 2099.660836189675, 2081.283213913, 2063.476760940256, 2038.912516211121, 2032.3797192205714, 2038.912516211121, 2799.3028855552984, 3181.32067367774, 3154.182271533601, 2943.3922269631353, 2865.1534220827334, 3105.4680805343564, 3350.9209600135478, 2642.649918933334, 2904.6911238578127]]"
"[[649.8153382045177, 480.49337782106807, 377.8555935821224, 325.1074789059966, 255.91062785456504, 230.10842755194918, 211.87032651909664, 206.31206005240625, 206.31206005240625, 748.738580295501, 1857.8762660039442, 753.428804789218, 1974.0960870303602, 1293.5910054456976, 912.2134889406158, 2770.292850677785, 1870.9581530455043, 1914.6202742020805]]","[[5456.956307853762, 3198.1504732527783, 3124.490577662991, 3054.1306206695936, 3013.382005294503, 2987.5911106252315, 2963.3068383974096, 2953.6426533476583, 2949.879351814284, 2949.879351814284, 6861.38557810858, 4914.396446663481, 3655.5678562309927, 5009.132354076298, 4510.2246563728, 4369.873704533259, 4216.591984884442, 4670.510409956776, 4133.9173778512695]]"
"[[6677.559053389813, 2546.996595075997, 2473.2417888787527, 2415.727481793649, 2370.799404669945, 2341.207110971852, 2330.2135326878915, 2313.8522167852084, 2311.1973515731247, 2309.046180733626, 2311.1973515731247, 4655.720778049291, 5231.400254076013, 3120.5349471720688, 3260.8082641196324, 4884.012196700419, 5034.904893920753, 3079.775217047841, 2917.737881393641, 2632.967759672525]]","[[1606.5405774184287, 1122.0656090120106, 904.2150541102616, 763.4685718857154, 749.5612877654539, 736.5513526584226, 724.6226338734737, 724.6226338734737, 1788.9135220455184, 1779.5041091239118, 1770.7459588014822, 1562.7717969343212, 1922.7370269515459, 1069.8779909887373, 1736.5728990006646, 2301.1254945019664, 2272.8964205020793]]"
"[[4141.236231922392, 3485.3623407496398, 3451.456905440036, 3410.917926223786, 3395.361077212829, 3385.367730491846, 3370.50824890757, 3361.631279745006, 3353.8704712191343, 3346.648814705647, 3346.030086640216, 3346.092673882114, 4782.4203224231205, 3538.66563276384, 3602.889209950685, 4855.94609392278, 3722.2105564237913, 4286.526890500871, 4306.119617853269, 3897.60018446193, 3928.293111536943]]","[[4288.436019057218, 1972.1486652628514, 1916.1036710698409, 1868.7227645131386, 1821.8418053648104, 1799.864146785363, 1788.7456985159804, 1799.864146785363, 2499.9347389949544, 3554.338750355525, 2806.9088337510525, 2457.782730733952, 2797.0036898784742, 2698.017998708357, 3819.0081655443437, 3069.1614910425465, 4135.630059586699]]"
"[[555.1264464143356, 377.66820310268133, 288.89695886451415, 211.99818051937518, 136.62155058950125, 27.10829090008139, 0.0, 0.0, 1055.0774494983982, 434.9991393290556, 439.37428382510495, 394.2733084719019, 723.3354031197799, 1254.3352207892651, 774.4098502797607, 663.0277619012381, 373.97848088855596]]","[[275.48743736216545, 84.90950626273793, 0.0, 0.0, 291.1636219970087, 736.5058075968391, 687.6120999015047, 544.2673486233625, 715.7495343505445, 815.4239094024281, 401.9457615930844, 873.4748974989419, 491.01605480768967]]"
"[[4460.277794774323, 2494.4660903022077, 2382.652570811426, 2347.3283839541946, 2303.690494087139, 2286.142877478968, 2278.32271791634, 2270.7223457102205, 2263.3051902781317, 2259.649824581239, 2256.0075914793733, 2255.884270891803, 2250.343008445624, 2245.035364553316, 2248.6775976551817, 3716.1341577951525, 3471.4432486312962, 2850.031202567227, 2905.941770718023, 4929.182811761269, 3753.9229886052044, 3645.4760639789733, 2771.328692948729, 3829.547245480141]]","[[3399.5040163710155, 1059.2109224211897, 959.8470174846493, 907.2597625595635, 845.9984007799229, 799.3381758591906, 714.5208520306082, 647.5472587647845, 620.4559060054029, 620.4559060054029, 1347.9068890863514, 1787.8044399404826, 2262.7671262434487, 2001.686205729404, 1999.4130040383702, 1720.0618738951944, 1355.7813363125517, 2183.79969893276, 1792.2319874009293]]"
"[[4713.7344523933, 1231.3793535204009, 1129.9382430933706, 1035.817557709254, 989.2693962442133, 982.6185221694819, 821.5587871666652, 779.9509702570332, 779.5263946442844, 779.3558399717188, 779.5263946442844, 2043.877875893496, 3179.626672849261, 1323.9160051809865, 1579.2798239770677, 2024.5817735328262, 1288.3235626950727, 1721.245159743939, 2189.966819238212, 3987.013401540544]]","[[6560.24267203794, 3919.2704478578466, 3871.0047588379925, 3807.0131281866297, 3774.2140221300638, 3753.458366326227, 3734.835056409846, 3716.3466423622785, 3702.8737954134112, 3697.7482779148413, 3696.6254375812096, 3697.7482779148413, 5028.7521688213255, 4361.108692661215, 5489.673269844423, 4389.300836368829, 4420.044818503251, 6953.983371599665, 4895.35726157961, 5103.9544938890285, 3985.0870274698736]]"
"[[1650.80051411429, 1522.4335310229383, 1447.5242048376908, 1402.4158277438455, 1359.9887087903614, 1320.0481624215402, 1314.11499689129, 1314.114996891291, 2076.8365083457493, 2212.697218404118, 2041.0698415555685, 4294.464520814934, 1676.7117108933392, 2243.1359984197697, 3223.385914892369, 2109.4662470520034, 1775.776574411951]]","[[178.8423957077668, 0.0, 0.0, 710.1224511722565, 842.606528445204, 369.8270892183267, 523.9809569030501, 772.446179993831, 1471.0904841567035, 478.0511828673914, 1369.4191722196103, 1039.7702655611286]]"
"[[7820.744073560915, 5555.043930702642, 5466.332949746087, 5409.862278339379, 5345.545666176185, 5319.0656882592775, 5295.819905903523, 5280.322226153105, 5267.936744568733, 5251.43530973338, 5244.768459200684, 5241.728282187363, 5241.850384010592, 6027.744269885, 5600.358485855646, 5799.597194471524, 5802.818903718983, 5609.648733314791, 5476.632492833327, 5803.162726231939, 5806.462030086546, 5729.923989030731]]","[[274.22540748915037, 0.0, 0.0, 642.4658530771427, 276.12667641841625, 218.70329785440194, 656.4731773119761, 310.4287443415344, 397.84305581091644, 322.2444569089097, 311.94335730978685, 573.2344812112635]]"
"[[6178.420514568604, 3651.6109626713555, 3551.922997125309, 3514.123194998513, 3496.519960482391, 3491.8292890480097, 3488.2423632792143, 3486.357210428694, 3487.251618008493, 6317.55533060222, 4363.635344184735, 5008.770489035034, 4266.479156675128, 4264.535471159436, 4207.5092837560405, 4292.939325188884, 4141.666936920941, 6371.437602806875]]","[[4643.278185695199, 2715.723316587704, 2671.861933135013, 2646.7222055291786, 2576.16784945551, 2551.5306963874373, 2530.930658474651, 2515.7637093117437, 2504.4273410793644, 2493.2687499202675, 2493.842298933693, 3084.234118481708, 4023.415445238139, 3099.5897584115464, 3142.643933257838, 3303.7885378243404, 3275.624411690694, 3024.9207141292627, 3555.4140041051096, 3966.1188141123976]]"
