maint_len_L,maint_len_H
"[[1112.6140148504114, 956.1502198754222, 854.4891937835446, 771.4706791647707, 766.7214661511862, 762.5614878041002, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139, 758.5308136561139]]","[[4728.0739303271375, 610.0707727329061, 419.45226328555134, 236.5793827843053, 129.215896114748, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362, 116.95371108762362]]"
"[[1316.4653280332934, 1071.182894883183, 1040.7315540364934, 1005.1494418834044, 986.9445850244302, 969.02860976485, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036, 961.3213747040036]]","[[2324.540516317061, 2134.365985581303, 2099.660836189675, 2081.283213913, 2063.476760940256, 2038.912516211121, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714, 2032.3797192205714]]"
"[[649.8153382045177, 480.49337782106807, 377.8555935821224, 325.1074789059966, 255.91062785456504, 230.10842755194918, 211.87032651909664, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625, 206.31206005240625]]","[[5456.956307853762, 3198.1504732527783, 3124.490577662991, 3054.1306206695936, 3013.382005294503, 2987.5911106252315, 2963.3068383974096, 2953.6426533476583, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284, 2949.879351814284]]"
"[[6677.559053389813, 2546.996595075997, 2473.2417888787527, 2415.727481793649, 2370.799404669945, 2341.207110971852, 2330.2135326878915, 2313.8522167852084, 2311.1973515731247, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626, 2309.046180733626]]","[[1606.5405774184287, 1122.0656090120106, 904.2150541102616, 763.4685718857154, 749.5612877654539, 736.5513526584226, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737, 724.6226338734737]]"
"[[4141.236231922392, 3485.3623407496398, 3451.456905440036, 3410.917926223786, 3395.361077212829, 3385.367730491846, 3370.50824890757, 3361.631279745006, 3353.8704712191343, 3346.648814705647, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216, 3346.030086640216]]","[[4288.436019057218, 1972.1486652628514, 1916.1036710698409, 1868.7227645131386, 1821.8418053648104, 1799.864146785363, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804, 1788.7456985159804]]"
"[[555.1264464143356, 377.66820310268133, 288.89695886451415, 211.99818051937518, 136.62155058950125, 27.10829090008139, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[275.48743736216545, 84.90950626273793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[4460.277794774323, 2494.4660903022077, 2382.652570811426, 2347.3283839541946, 2303.690494087139, 2286.142877478968, 2278.32271791634, 2270.7223457102205, 2263.3051902781317, 2259.649824581239, 2256.0075914793733, 2255.884270891803, 2250.343008445624, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316, 2245.035364553316]]","[[3399.5040163710155, 1059.2109224211897, 959.8470174846493, 907.2597625595635, 845.9984007799229, 799.3381758591906, 714.5208520306082, 647.5472587647845, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029, 620.4559060054029]]"
"[[4713.7344523933, 1231.3793535204009, 1129.9382430933706, 1035.817557709254, 989.2693962442133, 982.6185221694819, 821.5587871666652, 779.9509702570332, 779.5263946442844, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188, 779.3558399717188]]","[[6560.24267203794, 3919.2704478578466, 3871.0047588379925, 3807.0131281866297, 3774.2140221300638, 3753.458366326227, 3734.835056409846, 3716.3466423622785, 3702.8737954134112, 3697.7482779148413, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096, 3696.6254375812096]]"
"[[1650.80051411429, 1522.4335310229383, 1447.5242048376908, 1402.4158277438455, 1359.9887087903614, 1320.0481624215402, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129, 1314.11499689129]]","[[178.8423957077668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[7820.744073560915, 5555.043930702642, 5466.332949746087, 5409.862278339379, 5345.545666176185, 5319.0656882592775, 5295.819905903523, 5280.322226153105, 5267.936744568733, 5251.43530973338, 5244.768459200684, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363, 5241.728282187363]]","[[274.22540748915037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
