due_time_L,due_time_H
"[[8665.830008710585, 5992.814189105685, 5969.519665330838, 5947.019203496087, 5915.7491714379585, 5906.8699902820335, 5900.924370259587, 5899.047599192635, 5897.702974074361, 5898.416616977655, 7268.651251038248, 6075.071740551001, 7316.100423412215, 6580.782228667223, 7347.826013916421, 6590.978860536963, 7418.12189157867, 6105.726056710915, 6761.470598716299]]","[[817.6921438914134, 46.98562381433173, 0.0, 0.0, 477.5142744103364, 1519.6819147433025, 124.1513240300361, 632.2256439015927, 637.8969046196196, 443.1361908231181, 1194.867343910705, 350.47298355116493, 441.6578278170391]]"
"[[10967.221587330767, 5116.031888560761, 5039.811177588313, 5007.236851984331, 4957.668791392509, 4938.428886615389, 4928.808953528747, 4923.878632334978, 4909.6551891149975, 4902.790511530954, 4898.924210913284, 4896.987156940024, 4897.833886134593, 7662.02094469135, 5822.853719354516, 5145.6404768757975, 6756.168588528362, 5494.226949478143, 7371.393301695116, 5362.977212842296, 6523.769701529978, 5375.946691880172]]","[[0.0, 0.0, 167.28586816289973, 12.415236743565107, 398.59214658671806, 103.5101078919923, 784.1420484918631, 106.68006853960131, 2.2098069539469813, 33.137668411782094, 204.72434051862177]]"
"[[6665.131056680288, 5087.638575253369, 4984.958931166887, 4900.879008375909, 4802.642580778108, 4693.8287742171915, 4640.714797637274, 4614.805519075152, 4601.925841004551, 4590.57555298219, 4583.80426395819, 4581.70981254323, 4583.80426395819, 5370.333629338734, 5219.464528198944, 5021.1397289134275, 5217.520120603231, 5292.26042862482, 5729.36673837523, 5126.302732930217, 5298.032767111949, 6340.170344456197]]","[[224.57028043715005, 26.907283048532413, 26.907283048532413, 231.57181526215294, 219.54993461499714, 820.6778111080112, 35.81202846376516, 26.907283048532413, 318.09854490265076, 224.57028043715005, 120.93158721679183, 106.06343712556864]]"
"[[6675.1068428607105, 6428.432943136513, 6375.673903441502, 6342.650160484388, 6315.230367239384, 6292.358887217403, 6268.654148924281, 6239.973247178346, 6196.1020551242245, 6181.911807286462, 6170.944453060434, 6162.311681305799, 6153.842453387035, 6142.868312411551, 6134.851015588036, 6132.0095046035785, 6132.6474104818635, 7634.11779272466, 7665.870979246355, 6468.273952414526, 7676.675435293778, 7333.993311251406, 6578.518862612205, 6982.874337205176, 6901.633025751471, 6751.737215591277]]","[[2085.6124881393403, 947.8513555870759, 816.002853428806, 780.5989279228883, 745.6810726555581, 733.7615126598564, 732.7934432195946, 732.7934432195946, 1937.4833130936672, 2130.7091684503353, 1952.4268355600464, 1788.201819245533, 1586.4421040423645, 2853.387535531607, 1982.0019234447582, 1907.5311841780297, 1850.6637853589282]]"
"[[3708.659792327632, 3663.5611540206255, 3645.1863032212427, 3630.3439131041237, 3618.3072924691555, 3609.5169177936955, 3604.156693262489, 3606.288584379106, 4810.406910335578, 4018.7709256141675, 3827.1785759987943, 4113.63196355418, 4438.35357275086, 4613.888367049614, 3483.812520001708, 3427.1885610018458, 3379.8363260356746, 3363.8213135501455, 3355.8941354124427, 3333.8844121442685, 3331.449792642698, 3333.8844121442685, 4692.962343643285, 3942.2844718499764, 5314.82943984249, 4128.732381848933, 4386.539407681814, 4059.3992038274, 5152.99279944131, 4115.443644141069, 4106.706420981285]]","[[0.0, 0.0, 0.0, 0.0, 210.53912795796086, 0.0, 0.0, 30.42420234369319, 38.96871143983459, 157.5134680655247, 0.0]]"
"[[8170.290267768411, 4520.214913529738, 4484.834443992939, 4456.178489630809, 4430.842259721584, 4413.958117352633, 4391.972744709508, 4377.309374154223, 4368.29928063708, 4363.48633447182, 4362.148840884908, 4360.903751670471, 4347.648711243834, 4348.986204830746, 4510.021166455872, 4721.073833108635, 4596.230493473915, 4808.094825060346, 4828.434827637287, 4944.28070758067, 4557.740510871413, 4850.00200671918, 6754.715968094165]]","[[0.0, 31.839725449203932, 0.0, 0.0, 0.0, 0.0, 24.776585059544495, 0.0, 0.0, 0.0, 115.58839006945159]]"
"[[2653.755877718887, 2149.7838303939056, 2114.896438342517, 2079.288169195276, 2070.1671809744767, 2064.9321739035186, 2067.363836758355, 3074.675079282511, 3435.6681316186564, 3507.0200291969722, 3297.3181133187327, 3973.9456850389415, 2872.272839017106, 3308.2841186265787, 2662.984685989602, 2872.228161347675]]","[[218.27104457493877, 0.0, 0.0, 0.0, 103.63078616301338, 0.0, 143.6520388949487, 50.67766258173106, 98.67548935551662, 0.0, 0.0, 112.54838585524914]]"
"[[6314.526983961698, 5738.120809617534, 5612.450385310465, 5584.0911001237055, 5555.923315139564, 5528.300639216035, 5511.328786699973, 5484.127494251351, 5484.413172929521, 5943.679257202402, 6925.451159847753, 5804.532120172426, 6952.409263165089, 6068.418378800886, 6438.983129573244, 7122.502247808124, 5966.041590754995, 6324.298305549679]]","[[1951.780831560989, 127.31454763335375, 13.52301557656374, 13.52301557656374, 289.48977935819596, 718.938289911252, 609.9972867963278, 2494.6395711347673, 832.6130462880799, 758.3870379044503, 1003.9523957422006, 845.7022212976369, 1505.748670555375]]"
"[[8534.034742568037, 6022.001678862089, 5895.343333186969, 5777.39156077802, 5714.315878634283, 5677.747883144701, 5641.411150456117, 5615.735698763729, 5607.652070002829, 5602.205544791896, 5596.951115439859, 5592.3047655648, 5588.586400612927, 5588.604767664985, 6454.991060054279, 5833.925440379426, 6404.915359342854, 6131.218796839154, 5733.201378275098, 6271.062811421783, 5870.0886600966605, 6542.714820039212, 6131.735525446532]]","[[340.1073685947652, 32.15412990515747, 0.0, 0.0, 891.4533136418108, 97.9153456355691, 339.3392618905152, 465.7930054841658, 161.3834958481012, 0.0, 507.4155849688714, 423.2295075824623, 211.50195921182063]]"
"[[10712.163403744993, 8536.19065466741, 8439.670062630983, 8366.339956805035, 8301.674658393058, 8252.149757239415, 8211.170748204275, 8174.488297139748, 8159.325011616493, 8152.765084986255, 8146.294645081871, 8144.926870083433, 8144.007701592759, 8143.22917420708, 8143.200959250525, 8143.22917420708, 8577.625678777269, 9341.587693015937, 8316.613962337628, 8398.572392263557, 8369.026244257884, 8414.234234385525, 8408.863437765915, 8486.72654576024, 8329.651771730021]]","[[1172.352557056483, 80.58834608388241, 58.73795124232565, 41.057945095014226, 41.057945095014226, 1317.3194960693277, 1519.5516576084692, 792.6885396072051, 756.9991070653662, 1127.9306646001182, 1390.3198044666337, 1089.5369367359324, 1002.825127765595, 997.1801395462141]]"
"[[7617.577004885098, 5479.974511360295, 5413.916128468348, 5363.185258531504, 5312.104254572071, 5302.963545493394, 5294.374793101957, 5287.565374716912, 5284.495370388017, 5281.627722481406, 5281.917900674953, 6222.584834092479, 6272.40796564809, 5662.23976769929, 7747.518036842764, 6497.07518212697, 5824.406286652042, 6148.7857583270425, 5730.306253581687, 5450.556857782858]]","[[1363.017021372114, 469.5423830204405, 379.4374619762889, 290.5545759528073, 220.30508725380702, 163.9856835757628, 122.9383339743857, 111.60866819859348, 110.10399749991322, 110.10399749991322, 2295.1660920455597, 572.6276321911814, 1542.5279930646266, 2257.685175771264, 896.6913221494208, 2687.309168827267, 556.7665131238325, 1262.8186788530907, 1259.3865549026068]]"
"[[11570.70533257271, 9449.893128296735, 9369.71604946861, 9291.880727003598, 9218.383617425236, 9171.924678064628, 9129.370863277769, 9093.706933710815, 9051.919964167935, 9018.98131083071, 9010.496358891787, 9004.188560129, 8998.258797991473, 8993.792913150186, 8990.417208428331, 8984.109409665545, 8984.9676950262, 10778.842191216936, 9299.386415088518, 9296.419061096987, 10522.431160003767, 9268.816941896024, 9521.414128121767, 9204.376992136655, 11249.038581190018, 9395.380888017002]]","[[605.4736627821811, 0.0, 0.0, 22.97904138394241, 0.0, 0.0, 148.96442172209527, 476.1217252268259, 29.98300158816298, 25.836937464990587, 159.91731953604935, 0.0]]"
"[[5080.078103991079, 3772.2358394966604, 3749.9822715252553, 3730.0816881080145, 3704.697014444939, 3685.7704626510335, 3667.0646254227486, 3662.09239280934, 3660.663410117234, 3658.766787800577, 3659.199718748705, 4594.989520558624, 4666.722490297236, 4245.7985266760215, 4057.8856148319187, 4057.3350755194633, 4767.8231350481865, 4407.536993309644, 5572.097748482534, 3926.4239512167173]]","[[338.3126282254576, 0.0, 0.0, 274.41396872423854, 97.17388415164041, 398.75150225879713, 510.996143165294, 14.763888062639733, 0.0, 0.0, 370.7120320279247, 123.88554825052333]]"
"[[3766.796904897485, 3330.5425175632854, 3275.805770784888, 3180.211100964864, 3115.2014146352694, 3106.50795715577, 3098.462692810603, 3092.5476719029707, 3082.7659724782325, 3070.0518066289596, 3071.4150671539037, 3977.188540601222, 4273.25997275535, 3704.978577498233, 3930.741378436818, 3699.9655018359153, 4413.45965935256, 3971.0669469767126, 4344.096323524499, 4048.9422158105062]]","[[1513.6142717556522, 911.9933809194641, 818.0919898748394, 752.2559339835664, 711.993499530105, 705.3490815007347, 703.8949233166343, 703.8949233166343, 1458.360357778195, 1469.4249570063516, 1746.0156691810757, 1444.7094066925763, 1720.202970936702, 1974.0020735070868, 1781.4592053671756, 1674.9659454585021, 2332.191297514799]]"
"[[7012.516922548479, 4180.550095512806, 4115.201951616511, 4107.113932229537, 4099.227819618506, 4090.696079014966, 4087.873772793021, 4087.1294806632577, 4087.7830079184687, 4578.898967559755, 4626.853153630775, 4537.099648782127, 5375.016797595981, 4705.847156378037, 5078.998382247438, 4633.573218133721, 5406.156595853386, 4579.743180274591]]","[[0.0, 0.0, 10.819477246815246, 310.8738339263229, 0.0, 321.20140957430016, 489.64633302051203, 117.09094800621146, 420.9218055084233, 243.37020844798252, 648.6125186174961]]"
"[[3364.9702883175564, 2739.8054758229864, 2659.3421658974494, 2605.131609223177, 2580.7375337624303, 2582.886022641394, 4171.899685106756, 4177.216315161145, 3057.393311101636, 3573.0592447285917, 4246.564291083675, 4024.055481646439, 3677.7368824855967, 4037.428218080858, 3439.2347448759365]]","[[122.49006477697213, 0.0, 0.0, 127.5233811961143, 332.3680901261117, 79.32615259154714, 399.67750723920636, 93.14891600272236, 315.9432114945057, 494.6431644153575, 0.0, 0.0]]"
"[[4462.838003622136, 4354.4174817287585, 4193.169783388547, 4116.361284263356, 4088.7977363905693, 4074.9688696372214, 4057.81107920641, 4050.1885121551604, 4045.988939123733, 4042.2554129815726, 4045.988939123733, 5370.245005097315, 4915.6628257024995, 5876.99111341987, 4775.258565602332, 4836.515792430519, 5026.255838213239, 5185.996351320667, 4843.139483357329, 4910.7404228222285]]","[[1647.8362348509606, 643.2818904009455, 499.55369076793704, 372.44012146290504, 288.4408179343308, 263.7702796748167, 263.77027967481627, 263.77027967481627, 1229.2260602587467, 978.2793534987734, 1017.6423212286081, 699.507415960177, 763.8979307743407, 993.1632976325479, 1187.5927158090974, 1480.923394749545, 721.9433399009924]]"
"[[3483.7011612260517, 2999.376858878018, 2951.533204427538, 2938.772173939285, 2932.6306678187025, 2929.8297244833498, 2921.548032415769, 2913.34750311242, 2908.7080975137405, 2907.7670291706386, 2908.7080975137405, 4410.353792135029, 3486.5405857653786, 3754.789481789995, 3660.4111446234483, 3644.927426656409, 3377.9966344787117, 5054.0652544405, 3520.4647081188978, 3592.84610794105]]","[[1888.731270422234, 62.618408897925875, 30.343073872761053, 9.131431450200475, 0.0, 0.0, 1330.916541922771, 1474.8450525652784, 164.21003904782282, 557.5781531718605, 102.97809520151692, 444.7990652733095, 240.65619742654857, 476.91762247244407, 555.7022625106013]]"
"[[7520.187293981296, 3727.5573280908147, 3674.1680761756793, 3650.222792901909, 3574.074481423836, 3556.63203366915, 3542.487451325522, 3543.9279591901845, 4748.244341847239, 5718.596775014288, 4184.908127647719, 4690.369592903556, 4108.606952474836, 4104.479155824685, 4203.484308764217, 5802.050726116171, 4598.9575643295875]]","[[0.0, 0.0, 0.0, 0.0, 312.46104784516444, 365.6970576002518, 274.01626017345245, 458.24020435202374, 26.347487090781, 428.68529075051504, 681.9362698367262]]"
