due_time_L,due_time_H
"[[6314.526983961698, 5738.120809617534, 5612.450385310465, 5584.0911001237055, 5555.923315139564, 5528.300639216035, 5511.328786699973, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351, 5484.127494251351]]","[[1951.780831560989, 127.31454763335375, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374, 13.52301557656374]]"
"[[8534.034742568037, 6022.001678862089, 5895.343333186969, 5777.39156077802, 5714.315878634283, 5677.747883144701, 5641.411150456117, 5615.735698763729, 5607.652070002829, 5602.205544791896, 5596.951115439859, 5592.3047655648, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927, 5588.586400612927]]","[[340.1073685947652, 32.15412990515747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[10712.163403744993, 8536.19065466741, 8439.670062630983, 8366.339956805035, 8301.674658393058, 8252.149757239415, 8211.170748204275, 8174.488297139748, 8159.325011616493, 8152.765084986255, 8146.294645081871, 8144.926870083433, 8144.007701592759, 8143.22917420708, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525, 8143.200959250525]]","[[1172.352557056483, 80.58834608388241, 58.73795124232565, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226, 41.057945095014226]]"
"[[7617.577004885098, 5479.974511360295, 5413.916128468348, 5363.185258531504, 5312.104254572071, 5302.963545493394, 5294.374793101957, 5287.565374716912, 5284.495370388017, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406, 5281.627722481406]]","[[1363.017021372114, 469.5423830204405, 379.4374619762889, 290.5545759528073, 220.30508725380702, 163.9856835757628, 122.9383339743857, 111.60866819859348, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322, 110.10399749991322]]"
"[[11570.70533257271, 9449.893128296735, 9369.71604946861, 9291.880727003598, 9218.383617425236, 9171.924678064628, 9129.370863277769, 9093.706933710815, 9051.919964167935, 9018.98131083071, 9010.496358891787, 9004.188560129, 8998.258797991473, 8993.792913150186, 8990.417208428331, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545, 8984.109409665545]]","[[605.4736627821811, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[5080.078103991079, 3772.2358394966604, 3749.9822715252553, 3730.0816881080145, 3704.697014444939, 3685.7704626510335, 3667.0646254227486, 3662.09239280934, 3660.663410117234, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577, 3658.766787800577]]","[[338.3126282254576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[3766.796904897485, 3330.5425175632854, 3275.805770784888, 3180.211100964864, 3115.2014146352694, 3106.50795715577, 3098.462692810603, 3092.5476719029707, 3082.7659724782325, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596, 3070.0518066289596]]","[[1513.6142717556522, 911.9933809194641, 818.0919898748394, 752.2559339835664, 711.993499530105, 705.3490815007347, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343, 703.8949233166343]]"
"[[7012.516922548479, 4180.550095512806, 4115.201951616511, 4107.113932229537, 4099.227819618506, 4090.696079014966, 4087.873772793021, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577, 4087.1294806632577]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[3364.9702883175564, 2739.8054758229864, 2659.3421658974494, 2605.131609223177, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303, 2580.7375337624303]]","[[122.49006477697213, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[4462.838003622136, 4354.4174817287585, 4193.169783388547, 4116.361284263356, 4088.7977363905693, 4074.9688696372214, 4057.81107920641, 4050.1885121551604, 4045.988939123733, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726, 4042.2554129815726]]","[[1647.8362348509606, 643.2818904009455, 499.55369076793704, 372.44012146290504, 288.4408179343308, 263.7702796748167, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627, 263.77027967481627]]"
