,final objective value,first objective value,final shared job order,final schedule,time,,Lower Bound
25,345.1038303,443.8735981,"[9, 1, 2, 4, 6, 5, 7, 3, 8]","[[9, 1, 2, 4, 6, 5, 7, 3, 8, 'M'], [4, 5, 7, 8, 'M'], [9, 1, 'M', 6, 3], [2, 'M'], ['M', 9, 1, 2, 4, 6, 5, 7, 3, 8], ['M', 9, 1, 2, 4, 6, 5, 7, 3, 8]]",62.27659893,,
26,385.4106991,497.3623054,"[4, 5, 1, 6, 3, 2]","[['M'], [4, 5, 'M'], [6, 'M', 2], [1, 3, 'M'], [4, 5, 1, 6, 3, 2, 'M'], [5, 1, 6, 'M', 2], [4, 3, 'M'], ['M'], ['M', 6, 3], ['M', 5, 1, 2], ['M'], ['M', 4]]",48.49004388,,
27,469.8857197,577.3447736,"[8, 9, 4, 2, 7, 1, 3, 6, 5]","[[2, 7, 3, 5, 'M'], [8, 9, 4, 1, 6, 'M'], [9, 4, 2, 3, 'M'], [6, 'M'], [8, 'M', 7, 1, 5], ['M', 8, 9, 4, 2, 7, 1, 3, 6, 5], [8, 2, 'M', 6], [4, 'M', 1], [9, 'M', 7, 3], ['M', 5]]",70.74642086,,
28,630.9486371,963.9666214,"[4, 2, 8, 7, 6, 1, 3, 5]","[[6, 1, 3, 'M'], [8, 5, 'M'], [4, 2, 7, 'M'], [2, 7, 6, 3, 'M'], [4, 8, 1, 5, 'M'], [4, 8, 7, 'M', 1], [2, 6, 'M', 3, 5], ['M', 8, 6, 3, 5], [1, 'M'], ['M', 4, 2, 7], ['M'], ['M', 4, 2, 8, 7, 6, 1, 3, 5]]",91.77254462,,
29,572.3681438,910.0515748,"[1, 5, 6, 3, 7, 2, 8, 4]","[[3, 7, 2, 'M'], [1, 6, 'M'], [5, 8, 4, 'M'], ['M', 7], [1, 2, 8, 'M'], ['M', 4], [5, 6, 3, 'M'], ['M'], ['M'], [5, 6, 'M', 4], ['M', 1, 3, 7, 2, 8], [5, 'M', 7, 4], [2, 'M'], [1, 'M', 8], [6, 3, 'M'], [6, 3, 'M', 4], [5, 7, 2, 'M'], [1, 8, 'M']]",80.9956708,,
30,367.044253,501.177539,"[3, 5, 6, 1, 4, 7, 2]","[[4, 'M'], [3, 5, 6, 2, 'M'], [1, 7, 'M'], ['M'], [3, 5, 'M'], [1, 4, 'M', 2], ['M', 6, 7], [3, 5, 6, 'M'], [1, 4, 7, 2, 'M'], [3, 'M', 5, 6, 7, 2], [1, 4, 'M']]",51.69454956,,
31,680.7957035,1032.386966,"[5, 8, 6, 2, 7, 4, 3, 1, 9]","[[8, 7, 4, 1, 'M', 9], [5, 2, 3, 'M'], [6, 'M'], [8, 4, 1, 'M'], [5, 6, 2, 7, 3, 9, 'M'], ['M'], [6, 2, 4, 'M'], [5, 8, 'M', 7, 3, 1, 9], [5, 6, 2, 4, 1, 9, 'M'], [8, 7, 'M', 3], [5, 7, 4, 1, 9, 'M'], [6, 3, 'M'], [8, 2, 'M']]",71.40815806,,
32,480.3607944,657.0095931,"[2, 7, 4, 8, 9, 5, 6, 3, 1]","[[7, 4, 6, 1, 'M'], [2, 8, 'M', 9, 5, 3], ['M', 2, 4, 3], ['M', 7, 8, 5, 6], ['M', 9, 1], [2, 3, 1, 'M'], [4, 9, 'M', 6], [7, 8, 5, 'M']]",47.13470268,,
33,434.2989219,536.4254078,"[3, 5, 6, 4, 1, 2]","[[5, 6, 1, 2, 'M'], ['M'], ['M'], [3, 4, 'M'], [3, 5, 6, 4, 1, 2, 'M'], [6, 'M'], [3, 'M', 5, 4], [1, 2, 'M'], ['M'], [3, 'M', 4, 2], [5, 1, 'M'], [6, 'M'], [3, 5, 'M', 4, 2], ['M', 6, 1]]",57.13380456,,
34,158.6353148,203.6750299,"[1, 4, 3, 2, 5]","[[1, 4, 3, 2, 5, 'M'], ['M'], [3, 'M'], ['M', 1, 4, 2, 5], ['M', 1, 2], ['M', 5], [4, 'M'], ['M', 3]]",38.65375566,,
