weight_L,weight_H
"[[3907.0821128830316, 3487.2765003953837, 3439.2765003953837, 3377.2773392865915, 3355.943255913887, 3342.943255913887, 3336.62028671371, 3334.62028671371, 3334.62028671371, 6110.4000845300725, 3554.7132702912086, 3206.4572603510646, 3075.678346328152, 2947.4564578656864, 2909.844917195051, 2869.2945927556816, 2850.9924293094364, 2837.6072753103217, 2835.8225881104395, 2835.8225881104395, 4005.04436676494, 3811.9472941044937, 3497.1117517374346, 3302.223159221276, 4135.019473201191, 3656.4091341786448, 6118.09538481998, 3980.709180316943, 6705.771522857922]]","[[1985.9228719812145, 586.4893052889029, 344.6912610828076, 260.1860561530733, 175.390162546154, 103.47117073301274, 10.363595497103336, 7.017899697378768, 0.47004122406647336, 0.0, 0.0, 1475.682707262671, 1118.4009485809263, 790.4395566514565, 1129.4814762249252, 1161.862560577979, 3049.122167325803, 910.056966961822, 2860.566629176357, 1648.2816949664323]]"
"[[2578.221771227623, 5.763690733263502, 3.952358875410937, 0.0, 0.0, 1815.0120005944366, 1796.0561083367006, 1784.4337022203586, 1658.1697512476235, 1613.09381957063, 3732.078329358758, 1844.4013416664725, 2135.9203440330093, 3020.185781666382]]","[[8492.589501949538, 1540.9886778078635, 1214.621048033465, 1023.06577523238, 882.7125356237923, 768.7891417762114, 727.9873584661167, 703.8498361874712, 700.0719719547078, 700.0719719547078, 2195.153518725285, 2143.877061440179, 3269.280103716081, 2302.1265468961465, 5483.571572725132, 2620.717979401181, 3362.4319466338975, 2829.5027764889232, 2025.579674489335]]"
"[[9267.973604469953, 9017.904526002487, 8947.049971264703, 8820.21157080818, 8750.23176365975, 8684.625694458102, 8608.271274962699, 8571.531876209774, 8516.422778080389, 8498.053078703926, 8491.055097989083, 8478.80863173811, 8474.434893791333, 8467.43691307649, 8463.937922719068, 8463.063175129711, 8462.188427540357, 8462.188427540357, 11914.201901780722, 8459.638002998352, 8033.634248194347, 7810.36954410985, 7625.11145821257, 7480.322771853041, 7367.673481371586, 7325.313367949187, 7292.072959553684, 7273.703260177222, 7252.709318032693, 7235.214366245586, 7219.468909637189, 7210.721433743636, 7204.598200618149, 7200.224462671373, 7196.72547231395, 7195.850724724594, 7195.850724724594, 11078.759796238313, 8156.008916733998, 8151.28222980115, 7365.144130859279, 10354.647771058631, 8126.340575994289, 7586.169858789552, 8403.975523470774, 10544.020667162034]]","[[2961.1712918458593, 2598.231932389295, 2481.6953307264, 2377.7325410884905, 2296.1778597933107, 2244.1244165392823, 2194.3516167057483, 2155.070990766947, 2126.6127922561573, 2099.440744769944, 2091.4155635136303, 2089.9671331614136, 2043.9511978044723, 2042.9665591124303, 2042.9665591124303, 4325.092431557677, 6410.29016567023, 4526.316210945712, 3912.1386512448425, 3853.3867937633645, 3677.4637142146044, 3721.673089095576, 3845.1404036369936, 3431.110093488683]]"
"[[3607.209255881386, 967.0361906475546, 833.5381113807862, 746.9613367735083, 726.7121849654459, 631.5105742087767, 618.9753849942608, 607.5884199916932, 598.6142562938398, 585.1654369373696, 575.1680084135787, 561.2563243048244, 553.3154086046088, 553.3154086046088, 4586.94091569034, 1744.9709878104322, 4191.201241405661, 3500.3224164256226, 1735.8571382840787, 3897.0732325310005, 2045.2290080649684, 1481.9044568577388, 1304.017734027263]]","[[8204.953338550647, 3223.744973292386, 2873.6305139243577, 2680.749417915643, 2533.8901497283337, 2430.7654760270343, 2334.0334405026883, 2245.750334980751, 2159.0553518979973, 2092.371253198845, 2033.722158144094, 2004.9522658327742, 1977.1239123661076, 1949.7810204543148, 1926.3514647167244, 1909.6522304345785, 1909.6522304345785, 4949.610615605214, 5656.550461610602, 3502.1286083166724, 4188.0499606920785, 3923.8821761771205, 4204.795581242991, 3714.6999590726227, 4151.784642674294, 3044.445601979987]]"
"[[776.0581817524003, 1943.3552841586438, 1299.317597679112, 1528.0975101510323, 984.9866626972043, 1917.4230833858937, 771.0940476738267, 381.84536808918733, 219.84676536671714, 136.6947913482386, 82.59031793959002, 63.6094823659414, 53.184431652658986, 52.56492839913972, 52.56492839913972, 1508.4766758343917, 1119.4076858857886, 1803.5963730016306, 966.473497717358, 1375.4730410293025, 1480.3175728562487, 1616.455867406717, 1102.55374513587, 1693.1502403960224]]","[[6763.584209721391, 1443.2969415079065, 1093.469592114728, 889.5184130780295, 777.345124403813, 697.463605132307, 681.2397528692437, 677.4099661310033, 616.1035038616687, 616.1035038616687, 2108.1245520716516, 1728.4811018709488, 2687.050097989071, 2708.7023035387547, 2183.7669599283245, 1643.498519264123, 1839.544432981601, 2198.293525607926, 1875.4482484608852]]"
"[[8063.484682884623, 1667.780619527654, 1648.2390934304071, 1638.4683303817837, 1636.6918280093068, 1636.6918280093023, 1636.6918280093023, 4786.299766714698, 2834.5369606300496, 3020.453507702104, 3390.708100801693, 3034.3556813975215, 2794.769759733256, 3049.62952372072, 2713.1537356522076, 2990.2100954190664]]","[[4266.310778044317, 778.5217027947447, 494.3214260091686, 251.2831490005047, 179.26933309705376, 89.24849958579793, 15.672137117514964, 15.672137117514964, 1312.6148195351946, 1603.6206725843306, 1254.9989377419101, 4401.899897637757, 1910.092455807138, 834.4077793954071, 1998.0037104864919, 1429.1651367145962, 809.8244924518079]]"
"[[10621.403045597554, 4123.4681546420325, 4058.687231869656, 4002.7433994101993, 3958.7433994101993, 3917.139643459516, 3915.336246865349, 3915.336246865349, 8536.719222208882, 5187.841310906031, 5156.3872474836135, 6845.151348795621, 5125.69972134917, 7006.3705444353445, 4781.14102336454, 5184.56838173533, 5867.691733894975]]","[[7875.976975131404, 1767.478253831584, 1514.6575208938352, 1311.7113523148519, 1234.4946073364486, 1157.7354954620437, 1096.491597757991, 1065.0406220979737, 1057.5773620993725, 1057.5773620993725, 2058.9706559679707, 2602.707025737207, 2415.712633067546, 2507.1177741181036, 2102.448645102551, 2456.781693628477, 1761.1104778799886, 2160.221911967236, 2293.3179298498644]]"
"[[9527.909815228006, 901.5645427762156, 876.1112172940238, 862.6207089057139, 857.6207089057139, 857.6207089057139, 2519.234607622389, 2867.8009892189984, 2633.215463097309, 5795.618002239744, 2389.837026268523, 3748.8502629449927, 2780.8731696658197, 2382.722917095853, 3285.933369467577]]","[[1716.2948770291432, 1209.7306104320653, 1003.0183837476734, 881.2713885737935, 757.9740209196767, 696.7357810340119, 661.8118011475713, 661.8118011475713, 1890.59300307442, 1215.2174020200696, 1378.8336512359467, 2137.2234933193918, 3532.6596388778626, 2090.1738834145062, 2321.6678719838455, 2077.39451224986, 1519.5817920607922]]"
"[[12180.52428710915, 5898.859829685069, 5754.393824910167, 5696.586443204347, 5617.494515398494, 5546.189111177537, 5535.659335695207, 5521.703256388935, 5499.344081095595, 5477.60184929012, 5472.047089655878, 5463.828061286602, 5459.828061286602, 5454.034361617031, 5451.233579489746, 5452.3783914350615, 7431.3394024953495, 10170.650129917844, 6672.435786641097, 7189.727291502586, 9974.069006818469, 7203.115391061841, 9171.671893738207, 7333.523023078284, 8670.0667985055]]","[[6490.881383287161, 1892.5772938566195, 1583.0223508365216, 1401.1882369056743, 1233.1121437618447, 1046.975869710098, 961.9291383072723, 953.9737078141662, 949.7472384867335, 877.5467813059986, 864.8571594558819, 864.8571594558814, 864.8571594558814, 2398.4283898723265, 2437.956374432969, 2779.358944618173, 2385.3256778782516, 3292.4646197804714, 3032.874452731442, 2885.6195406731845, 2503.0287707662733, 2814.9219001666843]]"
"[[12295.879040870781, 2472.413922866287, 2362.2047337897898, 2342.6727461520763, 2325.209911232364, 2322.5383799099727, 2322.5383799099727, 3647.2411768166126, 3732.749384834244, 4627.2040850937965, 6369.392320353659, 4776.81265053078, 5003.673334250041, 5637.379477420458, 4935.827082879617, 4553.4608989382405]]","[[7253.93125554542, 2499.342399502291, 2150.1475273906394, 1961.1684942048867, 1808.9677975099196, 1702.176773259767, 1540.2289359867566, 1463.4573778310216, 1396.840495714388, 1338.1116754560874, 1283.6957491001785, 1265.822172406753, 1258.7153642296428, 1258.7153642296428, 2059.5118769228297, 3630.4618231782742, 4417.895144799771, 3956.863531778094, 3266.713983076261, 1946.7276633403346, 3027.3315054630034, 2036.1824264072877, 4065.882585201652]]"
