weight_L,weight_H
"[[4728.917609696917, 1269.6832722144063, 1236.6955145712777, 1215.9553273255337, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527, 1209.0419315769527]]","[[10159.288179100562, 6002.657816598471, 5858.053423287149, 5736.290277960717, 5635.015185115373, 5597.534120802236, 5534.768095419844, 5526.444434462282, 5520.729437580109, 5516.310208498442, 5511.018297273022, 5451.837590588207, 5424.107344335958, 5414.010445506806, 5409.592273551771, 5359.721740381756, 5359.218714091503, 5359.107163908133, 5359.107163908133, 5359.107163908133, 5359.107163908133, 4659.65217463875, 4453.3640509213155, 4219.055456763152, 4045.360632405508, 3875.99854443567, 3756.198942693307, 3594.2768660798583, 3453.076713717179, 3347.732984838175, 3274.410156617837, 3214.209384426965, 3172.6709988821704, 3143.1612411873657, 3118.8032181293065, 3097.7152909150436, 3078.4582140035773, 3062.554766529237, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746, 3054.2311055716746]]"
"[[7805.040558844501, 1137.6401841563566, 1085.4832628588451, 1066.3907535320982, 1022.0142348830013, 974.3796548616774, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692, 957.4431433412692]]","[[15506.994012386343, 8344.049924569488, 8295.551185486123, 8258.130506310179, 8237.916523539918, 8218.291383155509, 8203.976836571235, 8190.055554641556, 8184.810036833693, 8180.210934404364, 8179.076357507292, 8179.076357507292, 8179.076357507292, 7684.509685296025, 7334.279228069901, 6978.0286134858925, 6628.25214871467, 6393.947077265064, 6178.229613705287, 6048.432631250537, 5998.445222107774, 5950.511460020709, 5905.03474875061, 5861.5836878364335, 5838.36203717014, 5813.416500149299, 5792.443662455313, 5771.953469886792, 5768.941933087409, 5768.941933087409, 5768.941933087409, 5768.941933087409, 5647.424637500826, 5401.682352158526, 5074.276744831915, 4913.289631238007, 4791.89291335871, 4700.883419184187, 4628.425712326811, 4592.940055167188, 4573.493763050757, 4567.917204010312, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929, 4564.905667210929]]"
"[[3907.0821128830316, 3487.2765003953837, 3439.2765003953837, 3377.2773392865915, 3355.943255913887, 3342.943255913887, 3336.62028671371, 3334.62028671371, 3334.62028671371, 3334.62028671371, 3334.62028671371, 3206.4572603510646, 3075.678346328152, 2947.4564578656864, 2909.844917195051, 2869.2945927556816, 2850.9924293094364, 2837.6072753103217, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395, 2835.8225881104395]]","[[1985.9228719812145, 586.4893052889029, 344.6912610828076, 260.1860561530733, 175.390162546154, 103.47117073301274, 10.363595497103336, 7.017899697378768, 0.47004122406647336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[2578.221771227623, 5.763690733263502, 3.952358875410937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[8492.589501949538, 1540.9886778078635, 1214.621048033465, 1023.06577523238, 882.7125356237923, 768.7891417762114, 727.9873584661167, 703.8498361874712, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078, 700.0719719547078]]"
"[[9267.973604469953, 9017.904526002487, 8947.049971264703, 8820.21157080818, 8750.23176365975, 8684.625694458102, 8608.271274962699, 8571.531876209774, 8516.422778080389, 8498.053078703926, 8491.055097989083, 8478.80863173811, 8474.434893791333, 8467.43691307649, 8463.937922719068, 8463.063175129711, 8462.188427540357, 8462.188427540357, 8462.188427540357, 8459.638002998352, 8033.634248194347, 7810.36954410985, 7625.11145821257, 7480.322771853041, 7367.673481371586, 7325.313367949187, 7292.072959553684, 7273.703260177222, 7252.709318032693, 7235.214366245586, 7219.468909637189, 7210.721433743636, 7204.598200618149, 7200.224462671373, 7196.72547231395, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594, 7195.850724724594]]","[[2961.1712918458593, 2598.231932389295, 2481.6953307264, 2377.7325410884905, 2296.1778597933107, 2244.1244165392823, 2194.3516167057483, 2155.070990766947, 2126.6127922561573, 2099.440744769944, 2091.4155635136303, 2089.9671331614136, 2043.9511978044723, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303, 2042.9665591124303]]"
"[[3607.209255881386, 967.0361906475546, 833.5381113807862, 746.9613367735083, 726.7121849654459, 631.5105742087767, 618.9753849942608, 607.5884199916932, 598.6142562938398, 585.1654369373696, 575.1680084135787, 561.2563243048244, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088, 553.3154086046088]]","[[8204.953338550647, 3223.744973292386, 2873.6305139243577, 2680.749417915643, 2533.8901497283337, 2430.7654760270343, 2334.0334405026883, 2245.750334980751, 2159.0553518979973, 2092.371253198845, 2033.722158144094, 2004.9522658327742, 1977.1239123661076, 1949.7810204543148, 1926.3514647167244, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785, 1909.6522304345785]]"
"[[776.0581817524003, 776.0581817524003, 776.0581817524003, 776.0581817524003, 776.0581817524003, 776.0581817524003, 771.0940476738267, 381.84536808918733, 219.84676536671714, 136.6947913482386, 82.59031793959002, 63.6094823659414, 53.184431652658986, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972, 52.56492839913972]]","[[6763.584209721391, 1443.2969415079065, 1093.469592114728, 889.5184130780295, 777.345124403813, 697.463605132307, 681.2397528692437, 677.4099661310033, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687, 616.1035038616687]]"
"[[8063.484682884623, 1667.780619527654, 1648.2390934304071, 1638.4683303817837, 1636.6918280093068, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023, 1636.6918280093023]]","[[4266.310778044317, 778.5217027947447, 494.3214260091686, 251.2831490005047, 179.26933309705376, 89.24849958579793, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964, 15.672137117514964]]"
"[[10621.403045597554, 4123.4681546420325, 4058.687231869656, 4002.7433994101993, 3958.7433994101993, 3917.139643459516, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349, 3915.336246865349]]","[[7875.976975131404, 1767.478253831584, 1514.6575208938352, 1311.7113523148519, 1234.4946073364486, 1157.7354954620437, 1096.491597757991, 1065.0406220979737, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725, 1057.5773620993725]]"
"[[9527.909815228006, 901.5645427762156, 876.1112172940238, 862.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139, 857.6207089057139]]","[[1716.2948770291432, 1209.7306104320653, 1003.0183837476734, 881.2713885737935, 757.9740209196767, 696.7357810340119, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713, 661.8118011475713]]"
