weight_L,weight_H
"[[6637.022077961133, 2208.0087177076375, 2132.030531172234, 2112.399933618736, 2098.12313539801, 2088.3078366212617, 2081.169437510899, 2074.9233382893317, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946, 2072.246438622946]]","[[1254.091125752248, 1060.7619281116517, 872.672702517532, 707.0793191620276, 636.4659361309533, 567.2352694875984, 505.3032004516468, 444.0579740742362, 386.6628575745136, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967, 347.0491850622967]]"
"[[7225.789408589624, 5004.427242535045, 4957.970289265748, 4916.675219693039, 4880.542033816921, 4865.056382727154, 4856.4532432328415, 4853.8723013845465, 4852.151673485683, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252, 4851.291359536252]]","[[1790.5295790526545, 952.289338452142, 719.4372453966032, 371.81680367658294, 208.40983718206317, 78.26182695234945, 25.597897271367838, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964, 19.19833121862964]]"
"[[0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513, 0.8840151478525513]]","[[1431.8377531989058, 451.10487464900467, 324.67403727518234, 249.82776724191655, 209.01333662797495, 195.48082823485097, 157.2001089500343, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306, 145.94925864923306]]"
"[[6118.144956455468, 1670.8841263775382, 1651.4156993194213, 1643.7976191662453, 1642.9845755539648, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956, 1629.4083952026956]]","[[7490.880459777665, 3672.8195318123994, 3547.8179888040313, 3415.601373563436, 3334.1117837655784, 3253.7752650930606, 3206.4831360873686, 3182.28511611625, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456, 3173.516713633456]]"
"[[3037.083388066126, 910.4788659472679, 883.8546865946387, 877.4003400849101, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354, 874.7064614359354]]","[[598.5733600433718, 456.97775550094667, 376.3123249911572, 306.1581108303983, 301.3678905633096, 296.8181284730997, 286.1722963305986, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248, 259.8274917918248]]"
"[[58.7942534096851, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464, 58.79425340968464]]","[[2801.6240499068995, 1371.700460224595, 1168.7403471539137, 980.7689367330681, 857.808660607868, 781.6421183033045, 631.1862790800703, 584.865259381731, 559.223598637185, 519.9644945945024, 482.30294229514567, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023, 473.27861235026023]]"
"[[196.90941236499566, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[5475.231487746231, 3754.4299624357427, 3666.6316158019863, 3629.5035578630204, 3614.9981389383775, 3604.9679389788275, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007, 3604.1438849760007]]"
"[[1033.625256325431, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509, 609.8109169759509]]","[[4035.1467303778145, 1881.6984493884806, 1807.232330732232, 1788.3492156369296, 1778.9179049229156, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802, 1766.395257192802]]"
"[[476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426, 476.51192898500426]]","[[4972.21579106068, 3426.4769611800148, 3344.468220386789, 3278.4197714394204, 3241.2679497217355, 3209.6447420683558, 3191.977785291021, 3175.2591130661112, 3142.3400108219457, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015, 3138.639450352015]]"
"[[1529.6540821969402, 414.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146, 386.2382852430146]]","[[1183.2569046532928, 771.5924883379719, 682.9527868982692, 606.3889336999481, 552.6574700518996, 477.2431619368732, 457.3789005535296, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045, 443.9191593560045]]"
"[[1654.6930481842169, 971.6491130449749, 965.7688954884702, 907.8253798243586, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499, 893.5856928717499]]","[[5864.691627491546, 2925.478106428944, 2699.6084800579397, 2515.348984361488, 2350.7160837164965, 2257.763647293685, 2183.8575653454227, 2150.174732059409, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456, 2129.7641223965456]]"
