weight_L,weight_H
"[[6637.022077961133, 2208.0087177076375, 2132.030531172234, 2112.399933618736, 2098.12313539801, 2088.3078366212617, 2081.169437510899, 2074.9233382893317, 2072.246438622946, 2072.889826842975, 5197.848629060209, 3976.4930075774637, 3874.995982283456, 3274.3657212194503, 2241.8384903626766, 3497.013492137909, 2397.9970518870573, 2792.7491209020664, 3312.669764679048]]","[[1254.091125752248, 1060.7619281116517, 872.672702517532, 707.0793191620276, 636.4659361309533, 567.2352694875984, 505.3032004516468, 444.0579740742362, 386.6628575745136, 347.0491850622967, 347.0491850622967, 1798.6733236252255, 2075.7360264154463, 2128.6874953508927, 2137.508538008256, 2292.8703430831983, 1436.4515612502796, 1675.3219275453623, 963.783212093377, 1769.5741826548333]]"
"[[7225.789408589624, 5004.427242535045, 4957.970289265748, 4916.675219693039, 4880.542033816921, 4865.056382727154, 4856.4532432328415, 4853.8723013845465, 4852.151673485683, 4851.291359536252, 4852.151673485683, 5265.591192819621, 5230.190459463913, 5205.751934752479, 5784.510361298927, 4890.808283802698, 5102.5445397661015, 5636.422988603743, 5389.250470966268, 5515.450794434382]]","[[1790.5295790526545, 952.289338452142, 719.4372453966032, 371.81680367658294, 208.40983718206317, 78.26182695234945, 25.597897271367838, 19.19833121862964, 19.19833121862964, 953.430730358162, 1172.73203414132, 376.9393446625753, 740.6789326727678, 959.6118345651544, 810.6713104646041, 1060.3379567571965, 688.7774742426675, 1076.5866083876624]]"
"[[0.8840151478525513, 865.0942466613349, 2347.752765136559, 2262.1776345282315, 2375.7596801617537, 1660.8961557897708, 544.6680235659542, 1517.6777249485722, 2101.4801322301746, 2325.3438309014837, 2361.5650705113703]]","[[1431.8377531989058, 451.10487464900467, 324.67403727518234, 249.82776724191655, 209.01333662797495, 195.48082823485097, 157.2001089500343, 145.94925864923306, 145.94925864923306, 771.7411713186181, 777.6789625098825, 1026.5685253521378, 1909.4855289263242, 910.9748875020591, 1146.1419459319088, 586.0024427045182, 715.4727115460992, 333.997416653644]]"
"[[6118.144956455468, 1670.8841263775382, 1651.4156993194213, 1643.7976191662453, 1642.9845755539648, 1629.4083952026956, 1633.6401789620124, 2724.1408817573106, 3105.281533536647, 2704.7452651106373, 2337.0094153330733, 2643.503565614, 2557.045702829104, 2666.048854977652, 2485.3453283009344, 4571.305701417444]]","[[7490.880459777665, 3672.8195318123994, 3547.8179888040313, 3415.601373563436, 3334.1117837655784, 3253.7752650930606, 3206.4831360873686, 3182.28511611625, 3173.516713633456, 3182.28511611625, 4616.840008185552, 4379.558734207268, 4421.047766725258, 4419.77720858513, 4951.227905061163, 4174.062464619172, 5378.368564771963, 4726.377840645759, 4744.638128977643]]"
"[[3037.083388066126, 910.4788659472679, 883.8546865946387, 877.4003400849101, 874.7064614359354, 874.7064614359354, 2144.171373716937, 2129.220251262891, 1646.9991750803738, 1704.9095218888115, 2108.401282820193, 1318.6917894729484, 1388.6826350822867, 2081.2561079504994, 1603.6522409493073]]","[[598.5733600433718, 456.97775550094667, 376.3123249911572, 306.1581108303983, 301.3678905633096, 296.8181284730997, 286.1722963305986, 259.8274917918248, 259.8274917918248, 1588.3353609102294, 384.53015935609466, 1250.9001437876136, 1412.098594315536, 881.1403591568371, 2000.28760437459, 1405.1056527602257, 1945.1134510381628, 1915.5248797473632]]"
"[[58.7942534096851, 58.79425340968464, 58.79425340968464, 350.41346846863416, 613.1060051269237, 241.29963253481196, 951.899902271216, 473.47051652110827, 749.8198673339625, 242.59825714690237, 923.8408358852664, 223.2285644250121]]","[[2801.6240499068995, 1371.700460224595, 1168.7403471539137, 980.7689367330681, 857.808660607868, 781.6421183033045, 631.1862790800703, 584.865259381731, 559.223598637185, 519.9644945945024, 482.30294229514567, 473.27861235026023, 473.27861235026023, 1350.0312795793632, 1290.4667034781978, 1827.5699543118515, 1404.7944631954188, 2144.4768157070002, 1504.857508373916, 1448.423958609138, 1552.646397160757, 1698.1347268609613]]"
"[[196.90941236499566, 0.0, 0.0, 505.2149042797864, 316.7235180068242, 442.21289949579, 653.6346259779259, 1087.0517505928124, 593.0715818234721, 694.5705464584228, 316.59181205954246, 994.8354538849585]]","[[5475.231487746231, 3754.4299624357427, 3666.6316158019863, 3629.5035578630204, 3614.9981389383775, 3604.9679389788275, 3604.1438849760007, 3604.1438849760007, 3790.8743536334814, 4160.755973768077, 4468.117977315956, 4167.108937940575, 4217.982142861744, 4226.46326878911, 3990.4003018778403, 4036.446450192504, 3861.4242467852255]]"
"[[1033.625256325431, 609.8109169759509, 609.8109169759509, 3702.1236360458324, 1643.5651074351738, 1783.2834143164873, 1518.1108981089783, 1155.0675051420103, 1696.7599186205844, 1461.2778216939225, 1751.1446735595557, 926.9409317649042]]","[[4035.1467303778145, 1881.6984493884806, 1807.232330732232, 1788.3492156369296, 1778.9179049229156, 1766.395257192802, 1766.619784931927, 2661.301470042057, 3081.028700068919, 2689.873022580734, 2924.941587315724, 2428.325185067798, 3240.4815605034423, 3171.974015716818, 2818.8282539389943, 3182.137949667892]]"
"[[476.51192898500426, 1289.3375966402727, 1774.5726077162208, 1230.4400251471793, 2041.944328663319, 1225.1770008318585, 1503.6247003448052, 2337.0602300456635, 1459.1532004834758, 2610.053261537112, 1127.1290315831254]]","[[4972.21579106068, 3426.4769611800148, 3344.468220386789, 3278.4197714394204, 3241.2679497217355, 3209.6447420683558, 3191.977785291021, 3175.2591130661112, 3142.3400108219457, 3138.639450352015, 3139.4546905009784, 4137.25932734313, 3805.327778763701, 3681.9311260264744, 3444.997540503671, 3628.9253629149835, 3556.563356656186, 4086.717544409695, 4036.849306504264, 4149.110997699381]]"
"[[1529.6540821969402, 414.2382852430146, 386.2382852430146, 386.2382852430146, 1143.4681805656123, 1213.736609436393, 1990.531721291394, 1072.9516041657614, 1667.3351070942788, 1131.0200959929896, 1247.828958709833, 1541.16655407823, 1192.937874855385]]","[[1183.2569046532928, 771.5924883379719, 682.9527868982692, 606.3889336999481, 552.6574700518996, 477.2431619368732, 457.3789005535296, 443.9191593560045, 443.9191593560045, 1625.1435404901204, 1899.7748266100857, 1542.8596880159985, 1099.7563175809212, 1815.4418317372722, 1696.3093295320848, 2094.2778805748185, 1148.548906684788, 3060.4207408381562]]"
