prod_discount_L,prod_discount_H
"[[6795.845365800225, 4517.443938713193, 4448.582942744985, 4424.115950375409, 4388.87367561218, 4363.988398311991, 4364.812992582018, 4503.824531129069, 4545.887917539238, 4935.482783231702, 4984.455637975174, 4393.184072689425, 5820.629954533848, 5028.468951436687, 5398.4688323897335, 5118.151184526738]]","[[2135.9372621480825, 1205.7856042917824, 1091.1866708303398, 1012.2415372924136, 965.4014219942721, 925.3311746584706, 918.0441434128883, 912.9578344172737, 912.9578344172737, 1842.0816183600487, 2148.7096380584744, 1665.625922163936, 1668.8247353563622, 1773.2845183452878, 2504.0842663757794, 1620.3712023942255, 1932.6682742755654, 1781.9934643053198]]"
"[[3409.258574863806, 3355.116878869762, 3326.6860440031683, 3311.76943448207, 3302.020187896699, 3297.5779045914137, 3294.03467905776, 3289.679968452888, 3292.619048651901, 4552.298583978835, 3960.504526082051, 4653.119598677174, 4419.33765809201, 4000.0164360250333, 4308.001460643224, 4962.455977036121, 4584.722773624925, 4046.808438938615]]","[[343.5463670752025, 0.0, 0.0, 499.28172413149355, 461.9455752539227, 1743.3349028696448, 427.31890544087736, 500.2714237497834, 760.667858978642, 210.7231436538824, 576.3505537229884, 440.20906448228334]]"
"[[1654.9072294736598, 144.6666318658622, 108.55253158537587, 94.0922741929283, 94.0922741929283, 573.1345814972115, 746.8526632442216, 930.1516406654532, 1294.6916891409617, 984.2984848795513, 1199.7012621918989, 807.303167906203, 587.385726789197, 515.8941193013973]]","[[4017.4542505039617, 898.5621471494834, 681.8428857502744, 594.0145992311894, 578.0681501741062, 566.845482488147, 563.8167488236485, 563.8167488236485, 1757.771270561041, 1141.6983580492104, 1675.657808295965, 1266.1037136657842, 1534.7015429324863, 1665.0837646592506, 1770.3288059089364, 1509.4570299250422, 1391.0862380531505]]"
"[[4900.018889588251, 4777.667401926511, 4685.634011905497, 4640.207960208433, 4615.867217454838, 4596.613329542096, 4587.422288451221, 4580.880331004243, 4575.6123534623075, 4573.02796718105, 4570.826059351658, 4568.471740586972, 4570.826059351658, 5920.241842618185, 5213.776267187077, 5263.056459609552, 5028.5051839735015, 5182.978510868488, 5512.958842086404, 5853.4971877358175, 5492.649513388991, 5756.07386657592]]","[[2716.475820116111, 851.762046997353, 782.9283032780786, 732.873328129072, 687.8440623100934, 669.9685432482097, 666.2895357600491, 666.2895357600491, 2205.020673289807, 1411.2537956175825, 2360.056203003454, 1561.8694066478192, 1759.6133310958958, 2529.6236806484058, 1017.0310849087846, 1428.3035053425187, 1401.5832160967884]]"
"[[325.21290895795244, 126.24577303154084, 36.27631230803054, 0.0, 0.0, 1235.2644922738832, 521.0656423227202, 283.8157096034367, 468.6619530251513, 1892.896009937586, 524.5951682537916, 613.6046484170924, 517.5312719782363, 238.86497281075538]]","[[5621.428587734478, 3616.7064640936496, 3568.933045218366, 3521.292965582043, 3489.4380651015995, 3471.2480023166604, 3454.8292662404315, 3443.722428103841, 3432.7583986396253, 3429.0806721907625, 3431.9860253821926, 4368.8949926821915, 4011.4418401188373, 4283.513887072378, 4684.417244490262, 4149.664871275544, 5742.561557197425, 3904.6835486780683, 4202.689855715043, 4378.019160129838]]"
"[[7465.799813208283, 5419.280646354922, 5374.712705953609, 5324.023353289729, 5287.622917186018, 5210.532591531885, 5195.709446839756, 5183.8853160840745, 5179.231198307853, 5178.320598390608, 5177.58657502415, 5178.320598390608, 6470.821948300172, 5771.80841086407, 5657.097850035432, 5652.726774178091, 5954.363631073435, 6381.274874661519, 6006.170989857964, 5911.482455517774, 5558.209492103976]]","[[9965.705961558764, 5954.6642936946355, 5804.108209456676, 5776.169423221287, 5750.0449510780945, 5727.043134769546, 5724.327829197181, 5723.283540772028, 5720.661204266823, 5721.99832157366, 6269.949433968569, 7998.758531542198, 6659.062588470598, 6737.385085299714, 8893.7238416559, 5858.0689918611315, 10097.92374182882, 6001.537158772806, 6008.765699694456]]"
"[[782.5302210295115, 479.86181668621225, 388.96182981390905, 319.4510817968371, 249.51600891710345, 236.72248269837795, 206.17055623814858, 181.3383299525186, 179.55257250834916, 169.78437608585898, 165.52235971290668, 165.52235971290668, 382.4133459854369, 943.3919218987056, 1185.197403984161, 859.6893604684082, 1205.9754427299763, 327.3662074669077, 586.730377537428, 2541.493979147668, 899.7820017041453]]","[[1237.2857854569343, 938.8125433739692, 930.5996972722618, 918.6907613954882, 918.6907613954882, 1864.2185817330558, 2506.9157772469284, 2163.391657376369, 1742.9434188852213, 2126.2791483068368, 1844.3557471516542, 1600.1791928592047, 1781.7525180404143, 1634.6179452200074]]"
"[[891.1860202314034, 62.97797554708807, 0.0, 0.0, 1018.260889411637, 1430.7203559537606, 468.68360360834436, 827.2130728713017, 860.8781228703981, 804.6798746650677, 587.4280306196447, 813.3615479944991, 350.82155122845364]]","[[1446.367745560934, 676.5011330783251, 596.0076140634726, 519.7331969031914, 445.26636251148227, 445.07082727764623, 445.07082727764623, 1279.877791244494, 1690.7699512607169, 1061.1325532706783, 954.9856562624165, 1485.0068858645568, 1160.420753321185, 1669.4177174758854, 1534.2350588536428, 1230.1251765275535]]"
"[[5705.863143498274, 3246.266236253258, 3225.049000971129, 3209.953336304505, 3203.9904931801357, 3200.09709437744, 3189.9544819516395, 3184.922833346927, 3167.5110033417886, 3170.100045063056, 3865.491177100713, 5440.328523464301, 4121.632584749616, 4466.612371983535, 5227.455098455657, 4718.0983204682225, 3888.4591248670854, 4002.2349177265833, 4470.065174803006]]","[[5180.165987033741, 3552.9286393258753, 3500.998236445114, 3445.8293254470314, 3414.2056547798006, 3384.0794865570642, 3365.4427221438154, 3353.3135706372846, 3343.004397088897, 3341.1690669162854, 3340.545133216445, 3341.1690669162854, 4079.0192550228885, 3997.4273171921122, 3681.50557147689, 4158.888024877806, 3904.6805833858666, 4186.495197864475, 3574.9322182183605, 4765.612366879824, 3906.0080638724166]]"
"[[6507.7906370485625, 6414.150297715642, 6344.135045551054, 6277.986070743028, 6205.089979417483, 6141.593991306722, 6111.136636664772, 6073.377247513297, 6068.09578986634, 6065.107564080352, 6064.012453995341, 6063.166490697832, 6064.012453995341, 6595.994885453706, 6586.41686995263, 6013.201722035115, 5880.549969569226, 5812.261190213762, 5768.561682783376, 5721.8663246618125, 5699.533010850797, 5696.017451102576, 5695.792094052746, 5674.082108131057, 5669.962956398938, 5673.295436669664, 6598.186618262397, 6393.298669090695, 6513.260247252029, 6535.100244757825, 6105.836865071598, 6026.240291684115, 6153.358210914242, 5812.201844842897, 6091.99366715107]]","[[5012.026469949212, 4949.707283095724, 4884.588381143797, 4833.460453555435, 4801.7019317842, 4783.974882311783, 4778.9950620903255, 4777.527056245116, 4778.9950620903255, 5717.804748508607, 5277.0824581427105, 5519.522854646012, 5326.722058088581, 5256.683982757308, 5552.678917104772, 5176.600775553941, 5425.927637356054, 5507.915012318065]]"
