prod_discount_L,prod_discount_H
"[[6795.845365800225, 4517.443938713193, 4448.582942744985, 4424.115950375409, 4388.87367561218, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991, 4363.988398311991]]","[[2135.9372621480825, 1205.7856042917824, 1091.1866708303398, 1012.2415372924136, 965.4014219942721, 925.3311746584706, 918.0441434128883, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737, 912.9578344172737]]"
"[[3409.258574863806, 3355.116878869762, 3326.6860440031683, 3311.76943448207, 3302.020187896699, 3297.5779045914137, 3294.03467905776, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888, 3289.679968452888]]","[[343.5463670752025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[1654.9072294736598, 144.6666318658622, 108.55253158537587, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283, 94.0922741929283]]","[[4017.4542505039617, 898.5621471494834, 681.8428857502744, 594.0145992311894, 578.0681501741062, 566.845482488147, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485, 563.8167488236485]]"
"[[4900.018889588251, 4777.667401926511, 4685.634011905497, 4640.207960208433, 4615.867217454838, 4596.613329542096, 4587.422288451221, 4580.880331004243, 4575.6123534623075, 4573.02796718105, 4570.826059351658, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972, 4568.471740586972]]","[[2716.475820116111, 851.762046997353, 782.9283032780786, 732.873328129072, 687.8440623100934, 669.9685432482097, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491, 666.2895357600491]]"
"[[325.21290895795244, 126.24577303154084, 36.27631230803054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[5621.428587734478, 3616.7064640936496, 3568.933045218366, 3521.292965582043, 3489.4380651015995, 3471.2480023166604, 3454.8292662404315, 3443.722428103841, 3432.7583986396253, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625, 3429.0806721907625]]"
"[[7465.799813208283, 5419.280646354922, 5374.712705953609, 5324.023353289729, 5287.622917186018, 5210.532591531885, 5195.709446839756, 5183.8853160840745, 5179.231198307853, 5178.320598390608, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415, 5177.58657502415]]","[[9965.705961558764, 5954.6642936946355, 5804.108209456676, 5776.169423221287, 5750.0449510780945, 5727.043134769546, 5724.327829197181, 5723.283540772028, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823, 5720.661204266823]]"
"[[782.5302210295115, 479.86181668621225, 388.96182981390905, 319.4510817968371, 249.51600891710345, 236.72248269837795, 206.17055623814858, 181.3383299525186, 179.55257250834916, 169.78437608585898, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668, 165.52235971290668]]","[[1237.2857854569343, 938.8125433739692, 930.5996972722618, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882, 918.6907613954882]]"
"[[891.1860202314034, 62.97797554708807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[1446.367745560934, 676.5011330783251, 596.0076140634726, 519.7331969031914, 445.26636251148227, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623, 445.07082727764623]]"
"[[5705.863143498274, 3246.266236253258, 3225.049000971129, 3209.953336304505, 3203.9904931801357, 3200.09709437744, 3189.9544819516395, 3184.922833346927, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886, 3167.5110033417886]]","[[5180.165987033741, 3552.9286393258753, 3500.998236445114, 3445.8293254470314, 3414.2056547798006, 3384.0794865570642, 3365.4427221438154, 3353.3135706372846, 3343.004397088897, 3341.1690669162854, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445, 3340.545133216445]]"
"[[6507.7906370485625, 6414.150297715642, 6344.135045551054, 6277.986070743028, 6205.089979417483, 6141.593991306722, 6111.136636664772, 6073.377247513297, 6068.09578986634, 6065.107564080352, 6064.012453995341, 6063.166490697832, 6063.166490697832, 6063.166490697832, 6063.166490697832, 6013.201722035115, 5880.549969569226, 5812.261190213762, 5768.561682783376, 5721.8663246618125, 5699.533010850797, 5696.017451102576, 5695.792094052746, 5674.082108131057, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938, 5669.962956398938]]","[[5012.026469949212, 4949.707283095724, 4884.588381143797, 4833.460453555435, 4801.7019317842, 4783.974882311783, 4778.9950620903255, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116, 4777.527056245116]]"
