due_time_L,due_time_H
"[[2255.947718024921, 1558.5022346010464, 1449.1041094268253, 1426.7851738769655, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869, 1423.1761811765869]]","[[3616.980890142899, 1560.31425855607, 1515.828648797456, 1489.041569157283, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482, 1483.4909950571482]]"
"[[3405.80704732607, 2929.59429215208, 2829.110688214715, 2766.6969697934564, 2736.6573319637346, 2646.17615528059, 2631.2770267176647, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386, 2626.699297298386]]","[[4699.755061328476, 2947.7928643797595, 2847.5669130515685, 2756.1909054911166, 2700.5431584831217, 2662.2727808181285, 2644.777801680424, 2633.969300540937, 2624.6344997202405, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584, 2617.3754121164584]]"
"[[5072.365069750592, 3085.424820524945, 3022.9355318518196, 2963.679260888312, 2914.8855934449757, 2881.787054519132, 2874.9184594644557, 2868.8484197577823, 2844.8527841544437, 2822.798338178348, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796, 2822.0229664259796]]","[[3091.735973153375, 1776.6901968612187, 1722.6055618933813, 1693.8608423010337, 1682.5370349520256, 1673.9483189199173, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917, 1673.948318919917]]"
"[[817.5405381544393, 653.213592080424, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763, 632.544363249763]]","[[2911.4936823176895, 2723.0622396661424, 2682.446290450987, 2653.799413609102, 2601.33159744101, 2573.959764481127, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555, 2552.5009271770555]]"
"[[587.5619742661045, 356.76955685263596, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894, 351.34426347697894]]","[[235.82546587571923, 26.323954969879598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[5890.7808283079885, 2633.4664409734655, 2569.857260473219, 2507.6042272972936, 2494.5544860574637, 2487.387557193828, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441, 2482.352341264441]]","[[3887.129034204539, 3817.5263336776948, 3767.01239335294, 3717.103145868251, 3669.8728199179077, 3633.11261077411, 3625.892357390375, 3620.7573285126723, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415, 3619.2455956548415]]"
"[[5955.96940209332, 5387.878026823666, 5319.035277401499, 5254.403327924532, 5195.4587393501215, 5140.6929769939825, 5113.445186705674, 5098.602534083124, 5087.543922707474, 5081.380846311622, 5076.4961858314155, 5074.365357681135, 5074.365357681135, 5074.365357681135, 4995.448813105643, 4640.483883828636, 4494.089224563427, 4416.225644324016, 4351.9487208891305, 4307.953601121149, 4275.458512273915, 4256.07105418303, 4256.07105418303, 4256.07105418303, 3967.828166263093, 3884.1224847449002, 3820.3490188510355, 3766.601814004423, 3722.486774559579, 3701.182821247459, 3676.195784469088, 3655.1210993040436, 3637.2344837431265, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991, 3633.703640248991]]","[[1472.4821148863493, 68.93748347935683, 42.01996953303052, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194, 37.85483226447194]]"
"[[1403.9385742727325, 1173.8163830438994, 1114.0138419251962, 1087.4717502644562, 1077.8299599121804, 1062.7022053347775, 1057.4384418142854, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888, 1054.721358340888]]","[[4879.7293937532795, 1736.4646426862996, 1571.1105157805139, 1476.5463930208418, 1466.436958350288, 1457.7031808910026, 1456.3540360678353, 1456.3116066896227, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413, 1420.073868081413]]"
"[[3932.092229466345, 2088.53974521912, 1946.825975232176, 1901.179585245703, 1862.8899657430272, 1846.6779158696027, 1836.3067465613601, 1825.1689797721701, 1814.1586713074462, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184, 1813.0574287184]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[5402.479269413998, 5130.3092573467675, 5104.761372762549, 5091.646361843434, 5078.5831951344, 5067.903929714155, 5054.269072190137, 5045.763742866625, 5043.363264979546, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373, 5041.244721496373]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
