due_time_L,due_time_H
"[[2255.947718024921, 1558.5022346010464, 1449.1041094268253, 1426.7851738769655, 1423.1761811765869, 1424.3601864892994, 2811.491030022821, 2241.7479689915617, 2484.0983677798686, 3379.079031950679, 2354.8598114152505, 2132.6583670662058, 2847.557810264172, 3653.9445830185596, 2401.244282853482]]","[[3616.980890142899, 1560.31425855607, 1515.828648797456, 1489.041569157283, 1483.4909950571482, 1483.4909950571482, 2571.6416058432287, 1826.0975895888464, 2841.1999310761857, 2433.8828022813923, 2281.0077672457173, 2536.50969068475, 1845.9050114946313, 2247.6887679429333, 2760.810989487208]]"
"[[3405.80704732607, 2929.59429215208, 2829.110688214715, 2766.6969697934564, 2736.6573319637346, 2646.17615528059, 2631.2770267176647, 2626.699297298386, 2631.2770267176647, 3540.4821172509037, 3530.9870777782135, 3247.8190962747717, 2973.687591811636, 3049.5990876740443, 2915.2127842303576, 3142.137137832393, 4562.6553256476245, 3689.470677705969]]","[[4699.755061328476, 2947.7928643797595, 2847.5669130515685, 2756.1909054911166, 2700.5431584831217, 2662.2727808181285, 2644.777801680424, 2633.969300540937, 2624.6344997202405, 2617.3754121164584, 2624.6344997202405, 3776.9519797402822, 3701.0490281487714, 3993.4247824831086, 3477.752807256751, 3714.281065343619, 4545.814201629338, 3624.300983897132, 3274.655367376079, 3692.695429113225]]"
"[[5072.365069750592, 3085.424820524945, 3022.9355318518196, 2963.679260888312, 2914.8855934449757, 2881.787054519132, 2874.9184594644557, 2868.8484197577823, 2844.8527841544437, 2822.798338178348, 2822.0229664259796, 2822.798338178348, 3906.5615704057886, 3674.608132220832, 4291.498962794581, 4050.3599458323297, 3761.867582383377, 3950.5831284913793, 4074.518086133625, 4881.493171805763, 3651.0785636870933]]","[[3091.735973153375, 1776.6901968612187, 1722.6055618933813, 1693.8608423010337, 1682.5370349520256, 1673.9483189199173, 1673.948318919917, 1673.9483189199173, 3090.941625822971, 2910.0562284226867, 3079.4369282355233, 3291.0434207707744, 2728.5913119223496, 3335.061283081903, 2658.4944211129223, 2733.376093274326, 2626.0249795878804]]"
"[[817.5405381544393, 653.213592080424, 632.544363249763, 632.544363249763, 1070.4214196570147, 977.5773904921507, 1662.1898991800892, 1326.726032096423, 1724.1039202183856, 1587.2668575651005, 1125.7271067249271, 1643.6677760800546, 1444.6891537592985]]","[[2911.4936823176895, 2723.0622396661424, 2682.446290450987, 2653.799413609102, 2601.33159744101, 2573.959764481127, 2552.5009271770555, 2561.2428159765127, 3726.3534789271716, 3046.5762704789017, 3511.4083279796914, 3556.9155476441674, 3429.0015287804436, 4281.1579279852285, 3316.439275809247, 3041.8374337982495, 4247.585185020486]]"
"[[587.5619742661045, 356.76955685263596, 351.34426347697894, 351.34426347697894, 665.7122600720937, 792.1194812415205, 996.1998072256279, 1239.6834172007182, 888.9594984494286, 1725.5793367680856, 1520.9076960367042, 1800.4750167371558, 1698.0293282526422]]","[[235.82546587571923, 26.323954969879598, 0.0, 0.0, 322.4165365728325, 130.96756988703635, 288.28046450664084, 821.8553272682013, 159.01220313882447, 68.57953637846283, 939.198151837928, 237.900492087162, 615.7206951016644]]"
"[[5890.7808283079885, 2633.4664409734655, 2569.857260473219, 2507.6042272972936, 2494.5544860574637, 2487.387557193828, 2482.352341264441, 2487.387557193828, 3468.56293026607, 3402.0917432225156, 2946.4437378327734, 2865.1455457263296, 3472.0819539523795, 2689.1102860994974, 3430.5037308635333, 3880.984741014386, 3622.3050027561976]]","[[3887.129034204539, 3817.5263336776948, 3767.01239335294, 3717.103145868251, 3669.8728199179077, 3633.11261077411, 3625.892357390375, 3620.7573285126723, 3619.2455956548415, 3619.7152938924773, 5135.855884465524, 4642.359143427131, 4372.445218281195, 3968.617048210635, 4680.16929713452, 4301.673750648535, 6760.325661884223, 4490.739326270697, 6272.302696098698]]"
"[[5955.96940209332, 5387.878026823666, 5319.035277401499, 5254.403327924532, 5195.4587393501215, 5140.6929769939825, 5113.445186705674, 5098.602534083124, 5087.543922707474, 5081.380846311622, 5076.4961858314155, 5074.365357681135, 5074.365357681135, 6157.7384996349265, 4995.448813105643, 4640.483883828636, 4494.089224563427, 4416.225644324016, 4351.9487208891305, 4307.953601121149, 4275.458512273915, 4256.07105418303, 4256.07105418303, 4536.441088158152, 3967.828166263093, 3884.1224847449002, 3820.3490188510355, 3766.601814004423, 3722.486774559579, 3701.182821247459, 3676.195784469088, 3655.1210993040436, 3637.2344837431265, 3633.703640248991, 3633.703640248991, 5863.6174073069, 4961.30426078761, 4445.8531889783, 4005.3930050382637, 7224.073983037809, 4609.2380664851835, 4080.192668890446, 4280.777147247248, 4572.751652315904]]","[[1472.4821148863493, 68.93748347935683, 42.01996953303052, 37.85483226447194, 37.85483226447194, 138.74293548137464, 593.317706586634, 433.59109963503886, 579.7131136785122, 817.4223916664157, 641.9928145186625, 675.6698019739241, 1260.8784328011038, 1137.3401220806809]]"
"[[1403.9385742727325, 1173.8163830438994, 1114.0138419251962, 1087.4717502644562, 1077.8299599121804, 1062.7022053347775, 1057.4384418142854, 1054.721358340888, 1054.721358340888, 1781.3137129715185, 3255.345224323195, 1263.048989621794, 2568.7235853396687, 1756.2285949731233, 1712.3852347533966, 1539.8436829131006, 1693.8411124835372, 1477.441896368967]]","[[4879.7293937532795, 1736.4646426862996, 1571.1105157805139, 1476.5463930208418, 1466.436958350288, 1457.7031808910026, 1456.3540360678353, 1456.3116066896227, 1420.073868081413, 1420.1942722117071, 2715.2058371509434, 2632.647205144635, 5154.295014095313, 2729.739477730045, 2830.1654423955356, 3676.3164426557905, 3744.011687349409, 2959.3580785189533, 4198.14333409572]]"
"[[3932.092229466345, 2088.53974521912, 1946.825975232176, 1901.179585245703, 1862.8899657430272, 1846.6779158696027, 1836.3067465613601, 1825.1689797721701, 1814.1586713074462, 1813.0574287184, 1814.1586713074462, 2247.1900944687245, 2649.7429477259557, 3103.455462986032, 2333.268452385601, 2383.107531220395, 2959.5658077206135, 2666.7087206258393, 2524.4626359991985, 2526.671994194823]]","[[0.0, 44.963855658977316, 0.0, 0.0, 0.0, 0.0, 0.0, 107.98306145956005, 0.0, 0.0, 0.0]]"
"[[5402.479269413998, 5130.3092573467675, 5104.761372762549, 5091.646361843434, 5078.5831951344, 5067.903929714155, 5054.269072190137, 5045.763742866625, 5043.363264979546, 5041.244721496373, 5041.420335803519, 5562.101404461478, 5409.825498093526, 5689.797589588611, 5449.499916992683, 5564.374412820038, 5788.985936656455, 5811.213071818432, 5833.8394535467705, 5681.5030490156]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 116.02383466903521, 0.0, 12.062731075109019, 0.0, 59.383415373844734, 0.0]]"
