,final objective value,first objective value,final shared job order,final schedule,time,,,Optimality Gap
20,4226.52262,4833.605331,"[7, 16, 6, 19, 12, 4, 20, 14, 10, 11, 15, 8, 9, 3, 2, 5, 18, 1, 13, 17]","[[7, 16, 6, 19, 12, 4, 20, 14, 10, 11, 15, 8, 'M', 9, 3, 2, 5, 18, 1, 13, 17], [7, 16, 6, 19, 12, 4, 20, 14, 10, 11, 15, 8, 'M', 9, 3, 2, 5, 18, 1, 13, 17], [7, 16, 6, 19, 12, 4, 20, 14, 10, 11, 15, 8, 9, 3, 2, 5, 18, 1, 13, 17, 'M'], [7, 16, 6, 'M', 19, 12, 4, 20, 14, 10, 11, 15, 8, 9, 3, 2, 5, 18, 1, 13, 17], [7, 16, 6, 'M', 19, 12, 4, 20, 14, 10, 11, 15, 8, 9, 3, 2, 5, 18, 1, 13, 17]]",356.2594125,,,
21,2897.544847,3908.712445,"[18, 14, 5, 13, 20, 2, 8, 11, 1, 17, 19, 9, 16, 6, 12, 3, 10, 4, 7, 15]","[[18, 14, 5, 13, 20, 2, 8, 11, 'M', 1, 17, 19, 9, 16, 6, 12, 3, 10, 4, 7, 15], [18, 'M', 14, 5, 13, 20, 2, 8, 11, 1, 17, 19, 9, 16, 6, 12, 3, 10, 4, 7, 15], [18, 14, 5, 13, 20, 2, 8, 11, 1, 17, 19, 9, 16, 6, 12, 3, 10, 4, 7, 15, 'M'], [18, 'M', 14, 5, 13, 20, 2, 8, 11, 1, 17, 19, 9, 16, 6, 12, 3, 10, 4, 7, 15], [18, 'M', 14, 5, 13, 20, 2, 8, 11, 1, 17, 19, 9, 16, 6, 12, 3, 10, 4, 7, 15]]",352.9524083,,,
22,285.1451987,401.9051691,"[15, 4, 7, 12, 16, 9, 5, 2, 1, 11, 20, 19, 6, 8, 14, 18, 13, 3, 10, 17]","[['M', 15, 4, 7, 12, 16, 9, 5, 2, 1, 11, 20, 19, 6, 8, 14, 18, 13, 3, 10, 17], ['M', 15, 4, 7, 12, 16, 9, 5, 2, 1, 11, 20, 19, 6, 8, 14, 18, 13, 3, 10, 17], [15, 4, 7, 12, 16, 'M', 9, 5, 2, 1, 11, 20, 19, 6, 8, 14, 18, 13, 3, 10, 17], [15, 4, 7, 12, 16, 'M', 9, 5, 2, 1, 11, 20, 19, 6, 8, 14, 18, 13, 3, 10, 17], ['M', 15, 4, 7, 12, 16, 9, 5, 2, 1, 11, 20, 19, 6, 8, 14, 18, 13, 3, 10, 17]]",356.588707,,,
23,1045.573141,1160.265738,"[2, 14, 19, 12, 10, 18, 4, 1, 3, 17, 8, 20, 5, 15, 6, 13, 7, 16, 9, 11]","[[2, 'M', 14, 19, 12, 10, 18, 4, 1, 3, 17, 8, 20, 5, 15, 6, 13, 7, 16, 9, 11], [2, 14, 19, 12, 10, 18, 4, 1, 3, 17, 8, 20, 5, 'M', 15, 6, 13, 7, 16, 9, 11], [2, 14, 19, 12, 10, 18, 4, 1, 3, 17, 8, 20, 5, 15, 6, 13, 7, 16, 9, 'M', 11], [2, 'M', 14, 19, 12, 10, 18, 4, 1, 3, 17, 8, 20, 5, 15, 6, 13, 7, 16, 9, 11], [2, 'M', 14, 19, 12, 10, 18, 4, 1, 3, 17, 8, 20, 5, 15, 6, 13, 7, 16, 9, 11]]",369.8430974,,,
24,2382.948563,4828.716792,"[15, 13, 11, 19, 3, 16, 4, 5, 20, 17, 18, 8, 6, 7, 2, 9, 1, 10, 12, 14]","[[15, 13, 11, 19, 3, 16, 4, 5, 20, 17, 18, 8, 6, 7, 2, 'M', 9, 1, 10, 12, 14], [15, 13, 11, 19, 3, 16, 4, 5, 20, 17, 18, 'M', 8, 6, 7, 2, 9, 1, 10, 12, 14], ['M', 15, 13, 11, 19, 3, 16, 4, 5, 20, 17, 18, 8, 6, 7, 2, 9, 1, 10, 12, 14], ['M', 15, 13, 11, 19, 3, 16, 4, 5, 20, 17, 18, 8, 6, 7, 2, 9, 1, 10, 12, 14], ['M', 15, 13, 11, 19, 3, 16, 4, 5, 20, 17, 18, 8, 6, 7, 2, 9, 1, 10, 12, 14]]",369.0611844,,,
25,1978.469368,2493.350089,"[17, 6, 20, 11, 13, 10, 3, 16, 1, 4, 5, 7, 8, 14, 2, 19, 15, 12, 18, 9]","[[17, 6, 20, 11, 13, 10, 3, 16, 1, 4, 5, 7, 8, 14, 2, 19, 15, 12, 18, 9, 'M'], ['M', 17, 6, 20, 11, 13, 10, 3, 16, 1, 4, 5, 7, 8, 14, 2, 19, 15, 12, 18, 9], ['M', 17, 6, 20, 11, 13, 10, 3, 16, 1, 4, 5, 7, 8, 14, 2, 19, 15, 12, 18, 9], [17, 'M', 6, 20, 11, 13, 10, 3, 16, 1, 4, 5, 7, 8, 14, 2, 19, 15, 12, 18, 9], [17, 6, 20, 11, 'M', 13, 10, 3, 16, 1, 4, 5, 7, 8, 14, 2, 19, 15, 12, 18, 9]]",341.1631162,,,
26,3135.660516,3250.377284,"[15, 18, 12, 1, 13, 17, 6, 16, 20, 4, 3, 7, 8, 10, 5, 14, 19, 11, 9, 2]","[[15, 18, 'M', 12, 1, 13, 17, 6, 16, 20, 4, 3, 7, 8, 10, 5, 14, 19, 11, 9, 2], [15, 18, 12, 1, 'M', 13, 17, 6, 16, 20, 4, 3, 7, 8, 10, 5, 14, 19, 11, 9, 2], [15, 18, 12, 1, 13, 17, 6, 'M', 16, 20, 4, 3, 7, 8, 10, 5, 14, 19, 11, 9, 2], [15, 18, 12, 1, 13, 17, 6, 16, 20, 4, 3, 7, 'M', 8, 10, 5, 14, 19, 11, 9, 2], [15, 18, 12, 1, 'M', 13, 17, 6, 16, 20, 4, 3, 7, 8, 10, 5, 14, 19, 11, 9, 2]]",382.571527,,,
27,1542.370364,1690.936551,"[18, 16, 8, 15, 20, 6, 12, 13, 19, 10, 9, 2, 1, 7, 17, 5, 11, 3, 14, 4]","[[18, 16, 8, 15, 20, 6, 'M', 12, 13, 19, 10, 9, 2, 1, 7, 17, 5, 11, 3, 14, 4], [18, 16, 8, 15, 20, 6, 12, 13, 19, 10, 9, 2, 1, 7, 17, 5, 11, 3, 14, 'M', 4], [18, 16, 8, 15, 20, 6, 12, 13, 19, 10, 9, 2, 1, 7, 17, 5, 11, 3, 14, 4, 'M'], [18, 'M', 16, 8, 15, 20, 6, 12, 13, 19, 10, 9, 2, 1, 7, 17, 5, 11, 3, 14, 4], [18, 16, 8, 15, 20, 6, 12, 13, 19, 10, 9, 'M', 2, 1, 7, 17, 5, 11, 3, 14, 4]]",367.8572032,,,
28,3016.43105,3845.534765,"[13, 3, 20, 8, 4, 18, 14, 2, 9, 19, 1, 17, 16, 6, 10, 11, 12, 7, 15, 5]","[['M', 13, 3, 20, 8, 4, 18, 14, 2, 9, 19, 1, 17, 16, 6, 10, 11, 12, 7, 15, 5], [13, 3, 20, 8, 4, 18, 14, 2, 9, 19, 1, 17, 16, 6, 10, 11, 12, 7, 15, 5, 'M'], ['M', 13, 3, 20, 8, 4, 18, 14, 2, 9, 19, 1, 17, 16, 6, 10, 11, 12, 7, 15, 5], ['M', 13, 3, 20, 8, 4, 18, 14, 2, 9, 19, 1, 17, 16, 6, 10, 11, 12, 7, 15, 5], ['M', 13, 3, 20, 8, 4, 18, 14, 2, 9, 19, 1, 17, 16, 6, 10, 11, 12, 7, 15, 5]]",392.8042114,,,
29,1860.000159,2111.870784,"[9, 18, 8, 3, 2, 7, 12, 10, 5, 19, 1, 4, 6, 17, 20, 14, 16, 13, 15, 11]","[['M', 9, 18, 8, 3, 2, 7, 12, 10, 5, 19, 1, 4, 6, 17, 20, 14, 16, 13, 15, 11], [9, 18, 8, 3, 2, 7, 12, 10, 5, 19, 1, 4, 6, 17, 20, 14, 16, 13, 'M', 15, 11], [9, 18, 8, 3, 2, 7, 12, 10, 5, 'M', 19, 1, 4, 6, 17, 20, 14, 16, 13, 15, 11], ['M', 9, 18, 8, 3, 2, 7, 12, 10, 5, 19, 1, 4, 6, 17, 20, 14, 16, 13, 15, 11], ['M', 9, 18, 8, 3, 2, 7, 12, 10, 5, 19, 1, 4, 6, 17, 20, 14, 16, 13, 15, 11]]",387.8876112,,,
