due_time_L,due_time_H
"[[21628.027207233205, 12008.069170110728, 11655.779429502509, 11080.618571719187, 10887.070215482716, 10752.850779220755, 10683.595836618875, 10627.114414374268, 10594.20831845086, 10539.265328128258, 10507.757070522797, 10467.909645006603, 10453.87199322976, 10449.699837516688, 10447.137486492466, 10447.664671370972, 11878.363538941367, 11445.518836480956, 12864.859923326769, 11652.679694618988, 15343.704289265293, 12016.417188278554, 12311.136373735044, 12806.300896513081, 12359.41821609087]]","[[184.58887859783772, 0.0, 0.0, 45.93389396349667, 1507.8802125369161, 0.0, 317.28845511943655, 186.41670469773263, 0.0, 490.82101862964026, 130.34628473744652, 69.76133047268101]]"
"[[18652.68407856655, 11728.396505243054, 11574.62845834011, 11498.165641654889, 11427.955457819446, 11341.430212107678, 11303.611028987028, 11277.927179329621, 11255.766891107442, 11246.001823531253, 11239.829824658444, 11234.669987133173, 11230.244348821296, 11231.391847328778, 15908.052131023102, 12270.996533946069, 12581.411841144805, 13719.72252884034, 12042.131110163204, 14329.973110362316, 13007.200987859072, 15710.637906925336, 12465.042066998198]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[17659.51694919504, 8229.78190205528, 8073.114468356049, 7944.668340651764, 7828.619406308955, 7791.783983914029, 7761.6595337189265, 7740.847179868153, 7678.916090456054, 7658.27482683444, 7639.112674855183, 7626.330599778125, 7613.01982083051, 7601.1403877780285, 7585.465654342021, 7576.32718311476, 7579.630236495607, 11587.694404130387, 10071.429440132695, 14572.78528401414, 9733.734878227599, 10162.430029342608, 10326.266122745814, 10562.581347362833, 9313.495362705904, 11147.267021218016]]","[[3754.9532538452245, 888.8007405623603, 766.1707991470727, 656.2888914449323, 574.3055426690222, 496.1400277866063, 419.0846463852136, 360.32189829339853, 338.30835862593875, 322.19349370883816, 322.19349370883816, 2071.230000562993, 2203.9237640797905, 1889.1213515407494, 2148.5228635718136, 1765.994888274905, 2476.6557316032004, 2277.8259010468305, 1236.2740983966237, 2601.6561088607814]]"
"[[20121.465776228986, 11507.059680533996, 11297.325858395307, 11173.990937655659, 11097.941279077371, 11066.42616087553, 11044.608375431544, 11022.893469450712, 11009.202929476596, 10986.74471500664, 10971.00649173454, 10959.03447738311, 10947.350008089328, 10939.740181966416, 10901.244617489792, 10780.503708382414, 10739.505431075115, 10733.564406926806, 10734.525862795665, 11568.271401353679, 11276.683105222284, 11628.274178604624, 11915.036638820919, 11955.687752454802, 11560.51288012297, 16625.41421167826, 12680.766483195257, 11349.648267361828]]","[[1611.3977055901012, 0.0, 0.0, 127.96071561338687, 121.08381838214851, 495.7535408155457, 70.57670750745626, 798.8399436016512, 247.75363512122175, 43.77278356922562, 345.3011347163085, 174.7390574461631]]"
"[[13007.811500426336, 6973.436057664452, 6858.572762896258, 6749.996015885061, 6643.3508884108, 6566.7236114535535, 6518.505579827147, 6480.402130062591, 6412.094766442574, 6390.872118335101, 6378.321989215591, 6359.924360794913, 6344.089354852798, 6333.155665554315, 6320.940785485575, 6312.3497921643875, 6311.530608944632, 6311.882096151682, 7603.8403765465655, 7471.924237732002, 7334.551043351918, 7412.894767994095, 7958.424527213478, 7155.553978837772, 7319.424517078668, 7457.5519889241, 7655.210056673815]]","[[7.019272805502258, 0.0, 0.0, 172.09048707154062, 672.3479721780087, 0.0, 469.8360882632118, 79.74566418938538, 267.3739300924397, 357.0829286157768, 93.93128553100189, 0.0]]"
"[[15162.592417144111, 6897.425507267571, 6862.727549884372, 6818.031051911228, 6718.887553174706, 6668.613914455199, 6610.942838952043, 6574.868863578676, 6548.275277771032, 6517.89978562144, 6488.181667903615, 6474.941812943804, 6468.814938547826, 6429.940090469939, 6369.847430459182, 6332.334880726057, 6306.844723624945, 6301.626089012785, 6293.202286353004, 6291.700498376646, 6288.774054393363, 6291.700498376646, 7246.986773900766, 13481.090574419612, 7322.909609046257, 7354.646953766213, 7501.236815401946, 7752.5551657165515, 7430.567054483065, 7436.522461279898, 7334.466564408667]]","[[198.66391321125798, 0.0, 0.0, 161.74673207878274, 673.4884139112191, 626.1525488592549, 1831.1854500308093, 657.7283505840496, 840.7152405806188, 989.2971713977927, 869.2914214470931, 449.90217887348126]]"
"[[23707.971100955878, 11256.406343312718, 11014.324990934583, 10942.704151104454, 10883.04971976495, 10860.501338301596, 10848.117060095996, 10840.646642608319, 10833.92555766669, 10830.465673789085, 10827.979493680295, 10827.237461283994, 10826.772571389853, 10827.237461283994, 11905.675405555607, 18245.804782078747, 11742.91249134363, 12291.662611060214, 11935.16045145706, 11806.196068037008, 15796.766925470469, 11535.570938090968, 12987.642230208403]]","[[4157.694506346414, 455.679295602128, 367.7005562020252, 291.57810371639863, 277.16956879790985, 262.6544259251149, 206.79727525989793, 185.375481110518, 157.83040222241522, 148.2045668058853, 148.2045668058853, 883.4413883615805, 2901.644611523999, 1475.8924030398553, 3162.3904536237583, 817.6479330320319, 884.7692440916076, 3768.713127292873, 1645.121813539896, 1399.045665093241]]"
"[[18523.927125643557, 8065.206765984354, 7933.654438823869, 7719.082651997833, 7653.250395443696, 7615.263995116127, 7591.5917236155055, 7570.095595541627, 7560.9912266126485, 7547.644454648566, 7543.601785815245, 7545.590052884803, 9398.252978753037, 7620.710406378429, 11807.235188170158, 7719.567366899708, 7518.059656720941, 7416.838189428547, 7337.010950754455, 7282.993103352501, 7228.742348768186, 7190.46741859047, 7165.2528877194745, 7154.068113821745, 7148.033717625907, 7133.359919622392, 7129.086404499658, 7126.839988771311, 7127.0576282239035, 8836.088335255097, 8674.497047949058, 8442.278164356505, 8179.882307001265, 7926.961915992736, 8084.2978195899395, 10689.635346742656, 8626.838826952258, 8067.594768838545]]","[[3183.1609959819807, 79.75662346818437, 0.0, 0.0, 2374.0948929981573, 556.0972915281084, 645.0442281674333, 1767.0460323108791, 924.4938116256621, 614.5686005036199, 807.1731290475202, 232.14608091596216, 585.8611668564412]]"
"[[24492.234824859046, 14656.674290025167, 14587.569273786665, 14532.395842052467, 14417.125555187287, 14359.500457011478, 14321.73348869791, 14296.625823184393, 14273.858808135663, 14257.55903056029, 14244.787847626398, 14235.6039920727, 14231.243793679505, 14226.94315186164, 14222.969062669896, 14221.12878480781, 14220.184948985825, 14220.3832050615, 14333.59362990125, 13132.566339840361, 13023.838732290345, 12932.587625267688, 12804.611775286421, 12754.14037161882, 12709.814771494785, 12677.368789045828, 12670.918612671827, 12665.513263506677, 12664.32189805794, 12664.69245828599, 13306.207269922756, 13537.975688529652, 13600.66903247892, 15644.429406721338, 13849.551203654106, 14060.385096507629, 13673.522826233746, 13407.837884382465, 16973.55060209089]]","[[1583.4237306439368, 105.2599717901483, 105.2599717901483, 1853.9999597124502, 643.5988083337709, 353.35066530149095, 488.00925069947436, 74.01178434073815, 74.01178434073815, 434.99879586878865, 886.6423843454461, 205.132562841216, 397.7939878647752, 615.7318225384934, 482.8719655373712, 256.0244109031467, 729.3477697931742, 187.12567129105713]]"
"[[17077.086814167087, 6943.83193963645, 6722.5972677308, 6652.531590237613, 6614.733081610096, 6584.0441658604195, 6554.960881606436, 6538.155491574614, 6522.058446339884, 6500.487500551713, 6480.469274184807, 6462.169920293339, 6450.952930785527, 6443.334650507996, 6431.794376249586, 6429.787500930267, 6426.111019857335, 6429.787500930267, 12343.714648722555, 9041.386953447862, 9034.656849042382, 8366.238490336249, 8198.134188784374, 8972.129626379256, 9030.40342885157, 8542.09215556735, 10259.57609512679]]","[[2075.2743863599358, 80.24916882208768, 45.496813488836736, 10.927135674708016, 4.519834139172847, 0.0, 0.0, 172.71051684499855, 2561.070015269821, 1231.269757341834, 2058.8746660041825, 497.3316627516077, 1687.3622932585595, 1336.5915745804905, 884.8199084469587, 1501.5812399286247]]"
