init_prod_time_L,init_prod_time_H
"[[5290.020681807554, 508.3769571714178, 380.5200926895611, 313.09850687996106, 289.31685461027894, 266.5772604064556, 266.5772604064556, 857.3690261118627, 1277.4038756316113, 1083.797800795991, 1529.151219264803, 1178.5218608391465, 802.6516351635576, 1092.0221645724785, 1050.3448566296302, 1450.7369048313094]]","[[3615.496195710387, 1573.4972795159024, 1383.2579167496247, 1267.9868929125441, 1173.7388563617378, 1081.7623106503997, 1047.4671591303124, 1039.7429939729407, 1035.637125878439, 1035.637125878439, 2255.6589933627984, 2158.6723813214167, 3034.7869201462327, 1990.7961149952885, 3598.7112400526858, 1705.056116853847, 1751.6199676841024, 4305.716324544491, 3744.6561773779404]]"
"[[3780.163742772287, 1669.4344476647561, 1619.4906757222025, 1575.7820173486336, 1540.3171008241545, 1509.7684886588045, 1503.1382084097388, 1501.2767130379696, 1495.3907603323648, 1496.4955186227426, 3613.707859438678, 4997.3857795103995, 2633.3509738013477, 2697.971544704212, 3482.552313048379, 2421.2093805050204, 2738.429074084899, 2912.2301747726415, 3601.124670049654]]","[[2574.692900728377, 2490.1338979715574, 2464.9815610474457, 2455.6692581842512, 2448.394363771041, 2453.0682157572455, 4989.785995160155, 4911.876907096036, 3563.2125574801667, 4376.622971677446, 5092.899492331532, 5350.78483769462, 4812.82556175084, 4684.784897318677, 6055.02549449682]]"
"[[1834.0129250226785, 392.3034311745066, 386.2434554526985, 386.2434554526985, 1014.8844178021801, 2131.9868761072803, 975.2666256728835, 1201.8716807877672, 1233.177271055445, 1498.8553032339119, 921.0404956683365, 1315.4347819960517, 1204.467775512456]]","[[6509.047886652405, 4877.9157635100855, 4800.752258965824, 4756.435919622248, 4713.091071940624, 4683.795506423731, 4651.418876764563, 4644.701317106286, 4638.783370026103, 4637.13919955875, 4637.13919955875, 6662.5575947266025, 5087.840529635902, 6650.163791837636, 5383.046670285548, 5121.202978316181, 5883.403322661578, 4977.3608731428685, 5199.659661071234, 6721.70839266907]]"
"[[2208.4108323569867, 1123.7587732051065, 1051.3751541270249, 1014.582188001185, 971.1320807424016, 956.1589168865523, 951.2072697750929, 951.2072697750929, 1815.526596843881, 1593.5918870791256, 2438.6473761403245, 2439.6895144301006, 1634.8453555959975, 2861.516040242006, 1180.544598287296, 1428.8620789035463, 1496.9902769186415]]","[[4117.23028049325, 4028.1948675978724, 3932.3851035500725, 3884.511620912219, 3852.8047956016308, 3844.6301018789272, 3836.6163518565418, 3830.2174239770957, 3827.2544057433824, 3826.12827773737, 3826.12827773737, 5332.019816532834, 4561.268031602406, 5241.175823798396, 4365.9823587400915, 4890.805360188192, 4981.522338186756, 4927.531099884431, 5794.55665601847, 4574.485496890868]]"
"[[1390.1029081568886, 182.81677766882518, 98.93202102762854, 51.01662960437939, 29.565085144084193, 29.565085144084193, 208.50467732484992, 756.4395309863252, 650.6631759368661, 1133.85454780395, 500.48518609097925, 890.9266205371171, 1142.0807058979085, 844.9278595077994, 1074.2755572841174]]","[[0.0, 0.0, 102.11807087713575, 1232.5127282369426, 33.89391252969886, 572.7365497320503, 293.8858051778436, 1004.1050115210148, 146.32897934261203, 1099.1325763149798, 234.48447593357275]]"
"[[882.3758664176213, 590.0904148889618, 543.9076883176116, 543.8404615623479, 543.8404615623475, 543.8404615623475, 1520.3276453024632, 1376.2785598012883, 1583.7822775008108, 1266.2602804765781, 1017.8533443490284, 1324.411116491339, 1563.2710528300872, 1569.4620055955638, 1532.9180407433837]]","[[0.0, 368.2926380954909, 459.9443977576633, 979.5620064971017, 102.5295831184952, 136.86141216111062, 333.61424440945854, 732.4302051395623, 70.39732947253938, 441.06484166088256, 571.6654325286404]]"
"[[2906.8848467153944, 615.7526055336034, 549.9306562310567, 484.7265275412144, 441.3649220773524, 426.9737484521177, 413.8525564021778, 413.8525564021778, 3244.707417135911, 1300.238829461572, 1545.4268417733567, 1049.877769026956, 639.7657953693391, 3397.5691731537336, 1982.2047339593578, 1664.866206181769, 1352.4944025411244]]","[[1779.805771993386, 1630.3688787099882, 1528.8367207129718, 1507.5519194206045, 1495.0999693243566, 1495.0999693243566, 3422.197683375973, 1928.8795860035534, 2647.3333847410963, 2555.9062910590155, 1969.4783642521506, 3615.70026015376, 2251.9885420648607, 2367.2366121708465, 2338.2817108969007]]"
"[[1519.4669674837053, 751.6767085731701, 656.8247118707933, 590.2237511344248, 528.4325505190945, 468.09261129734296, 449.63195677118654, 449.63195677118654, 1454.7945024403305, 1279.077414907901, 1147.754823189246, 1076.2649745687852, 1246.754881611016, 1659.9501368676283, 861.571635450678, 1257.1978997421736, 1125.1587742275935]]","[[3923.73279554246, 2462.8494732791723, 2366.091224914385, 2273.7994415386484, 2211.1057623155457, 2192.8064324492134, 2184.188378964237, 2181.8525524750403, 2181.8525524750403, 3657.550856727784, 5131.4991482424775, 3167.4516921853246, 3508.499224432459, 3867.296510648027, 4490.260539297464, 2816.802563719184, 3814.003208185525, 3944.174895712844]]"
"[[4795.841668264592, 1921.6020192191625, 1383.3319046295446, 1296.2826841166425, 1218.8627215255224, 1147.3100584386748, 1084.0787940215857, 1021.5708871600353, 1018.8807800810112, 977.7152829310401, 869.8687711787445, 869.8687711787445, 1853.7051608689765, 2188.310643075122, 1983.6660781522014, 3066.8167058793424, 2067.2834486062748, 2530.652608142936, 3418.125207099296, 2148.8288661831994, 1589.2848343031592]]","[[4285.428838956004, 2250.6526717135725, 2180.7428625604357, 2127.057611709394, 2086.0332091007454, 2069.2702812965126, 2063.8840777684927, 2068.0600119261617, 2545.42619375913, 4645.10100509293, 3102.4146767964903, 4389.0927077518145, 3477.8820998344513, 3131.8809873048767, 4073.9330478511106, 4150.90669660351, 3856.0948898655047]]"
"[[3336.3040275629137, 405.3400768690533, 359.79579692768885, 320.9683491947809, 303.24450447036645, 303.24450447036645, 1842.5476206420044, 1351.9868025837604, 1259.0755579664906, 2224.2861281780733, 1219.2844125895747, 1603.4193785658317, 1136.3148027446657, 3071.4264390148096, 1149.0922858803076]]","[[1923.8176603293316, 1561.9209262645284, 1533.8521033606517, 1525.45007101242, 1522.5964335587432, 1521.4750145667133, 1521.4750145667133, 3260.6794058585465, 3338.9724153434927, 2492.5203618070104, 5221.135707171399, 3656.5008905960813, 3997.260611778904, 2971.4403120538987, 2256.277102450429, 2312.487633340336]]"
