init_prod_time_L,init_prod_time_H
"[[4014.396788056235, 1796.3631931750951, 1679.2977629334755, 1551.597028853012, 1495.5273925133033, 1470.172563546951, 1444.8338515054297, 1427.321631419927, 1412.0214655355617, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664, 1403.7134440215664]]","[[8517.817414610465, 4194.491012715392, 4107.478660319095, 4031.900556341614, 3978.391264592421, 3917.688348694245, 3905.320912118495, 3901.434602392405, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928, 3900.563219039928]]"
"[[1396.6175004932752, 1089.19082151612, 1024.0610663016373, 983.4974004874855, 957.3384597514031, 931.5600413536731, 920.6228166973996, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776, 918.1279839818776]]","[[5274.808701564942, 2361.2235939046254, 2249.376801761962, 2239.2880030240617, 2235.032349661446, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923, 2234.7466636544923]]"
"[[3179.2407660090917, 1938.80045484579, 1860.3944840913628, 1793.6384034113134, 1765.4608828766452, 1726.7678166773928, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956, 1724.667853620956]]","[[6914.073509634923, 2639.225668801063, 2516.5517629946075, 2452.7044704189175, 2392.8346469334447, 2342.131213788247, 2305.278590327641, 2285.1204175485445, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623, 2268.0207475528623]]"
"[[2040.9606960483013, 705.8447040282035, 565.5578788975295, 504.49645512215915, 461.0425390825999, 454.93959421624885, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534, 453.143261169534]]","[[309.38699803516454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[5290.020681807554, 508.3769571714178, 380.5200926895611, 313.09850687996106, 289.31685461027894, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556, 266.5772604064556]]","[[3615.496195710387, 1573.4972795159024, 1383.2579167496247, 1267.9868929125441, 1173.7388563617378, 1081.7623106503997, 1047.4671591303124, 1039.7429939729407, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439, 1035.637125878439]]"
"[[3780.163742772287, 1669.4344476647561, 1619.4906757222025, 1575.7820173486336, 1540.3171008241545, 1509.7684886588045, 1503.1382084097388, 1501.2767130379696, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648, 1495.3907603323648]]","[[2574.692900728377, 2490.1338979715574, 2464.9815610474457, 2455.6692581842512, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041, 2448.394363771041]]"
"[[1834.0129250226785, 392.3034311745066, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985, 386.2434554526985]]","[[6509.047886652405, 4877.9157635100855, 4800.752258965824, 4756.435919622248, 4713.091071940624, 4683.795506423731, 4651.418876764563, 4644.701317106286, 4638.783370026103, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875, 4637.13919955875]]"
"[[2208.4108323569867, 1123.7587732051065, 1051.3751541270249, 1014.582188001185, 971.1320807424016, 956.1589168865523, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929, 951.2072697750929]]","[[4117.23028049325, 4028.1948675978724, 3932.3851035500725, 3884.511620912219, 3852.8047956016308, 3844.6301018789272, 3836.6163518565418, 3830.2174239770957, 3827.2544057433824, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737, 3826.12827773737]]"
"[[1390.1029081568886, 182.81677766882518, 98.93202102762854, 51.01662960437939, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193, 29.565085144084193]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[882.3758664176213, 590.0904148889618, 543.9076883176116, 543.8404615623479, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475, 543.8404615623475]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
