benchmark
   2  30  75  39  68  53  98  20  32  26  11  97  35  47  52  34  57  25
  37  44  31  18  72  70  19 100  23  62  77  16  21  79  22   1  90  43
   3  28  80  14  49  15  24  50  48  81  12  85  86  45  87  96  84  91
  83  65  17  10  76  71  99  95  60  54]"
"[ 96  39  60   8  58  15  31  11   7  93  13  18   9  53  32  92  89  12
  70  66  94  30  95  24  83   6  79  14  55  72  73  42  20  98  46  63
  29   2  87  27  88  21   3  57  40  90  48  64  78  16  91  86  99  85
  59  38  49  23  50  75  35  34  28  56  61  81 100  37  77  84   5  76
  97  33  65  44  43  36  17  62  74  25  19  54  71  10  82  22  26  45
  69  41  67  51  52  47   1  68  80   4]"
"[ 28  33  18  15  95  88  78  38  92   6  40  99   8  56  37   5  47  22
  69  98  90  96  35  62  39  43  97  57  71  73  79  81  86  49  31  52
   1  21  93  76  45  77  24  70  64  84  26  66  59  82  50  44  89  75
  32  61  16  14  60  34   4  58  46  80  53  29  13  87  72  63  27  36
  30  83  91  41   9  67  74  25  55 100  51   2  94  12  10  11  65  20
  54  68  19  23   3  42  48  85  17   7]"
"[ 23  45 100   9  26  49  61  22  14  30  70  41  36  39  18  54  84  73
   1  24  47  97  57  81  62  63  58  38  16  35  66  82  94  74  86  56
  72  20  76  21  44  99  13  28  89  68  87  91  96  85  42  46  25  67
   8  55  29  69  52  43  60  31   7  19  12  50  17  78  51  64  79  15
  95   2   6  75  32  90  98  40  80  93  11  53  92  34   4  88  48  59
  77   3  27   5  83  71  65  10  33  37]"
"[ 40  48  14  77  89  27  12  93  32  53  64  54  63  86   8  19  83  99
  67  29  42  90  30  36  82  49  23  20  45  60  87  39  44  50  81  66
  79  85  15  65  95  69  13  84  22  38  94  47  17 100  73  51  43  10
  35  24  26   9   4  58  61  91  74   2  57  21  34  71  96  76  92  97
  41  46  88   5  25  72  75  78   7   6  18  31  52  56  28  55   1  98
  68  70   3  37  33  16  62  59  11  80]"
"[ 92  94  40  83  70   3  38  44  72  77  80  49   8   7  31  79  78  53
  58  47  23  43  75  86  24   9  14  11  55  96  82  63  36  13  17  35
  98  18  10  57  65  62  85  95  84  60  50  61  56  48  22  34  39  66
  21 100  71  19  59  69  87  30  15  41  25  12  64  16  73   6  88  51
  93  37   4   1  90  67  29  89  42  27  54  81  32  26  74  91  28  76
  20   2  99  33  68  97   5  52  46  45]"
"[ 27  37  41   6  56   7  29  64  99  23  55  65  45  74  35  76  49  98
  40  69   5  31  36  26  78  97  89   3  87   9  32  63  60  88  30  43
  67  22  59  39   2  42  15  58  46  17  48  72  70  44  21  79  80  86
 100  53  20  81  62   4  33  50  47  82  14  77  12  11  94  19  71  25
  13  57  95  16  66  51  96  61  34  75  52   1  90  92  91   8  24  93
  68  85  10  83  18  28  73  54  84  38]"
"[ 31  44  99  56  82  39  23  75   6  63  51  43   5  58  32  22  68  10
  40  30  88  96  76  86  89  19  73  41  71  95  29   1  91  12  84   2
